Date,open,high,low,close,volume
2014-03-14 04:00:00,105.91994821220128,107.31371709633643,105.91994821220128,107.02732849121094,990000
2014-03-17 04:00:00,107.87380012911423,107.98199097571671,106.70278303653656,106.9828109741211,687600
2014-03-18 04:00:00,106.89369650555382,108.19199618693413,106.39091649684893,107.14826202392578,615700
2014-03-19 04:00:00,107.39010248199007,107.93742706817997,105.58902285198202,106.21271514892578,896600
2014-03-20 04:00:00,105.95818105670024,106.6837036571416,104.78715411529372,106.65824127197266,667500
2014-03-21 04:00:00,107.59374662143436,108.19198621663571,106.6645738250566,107.78467559814453,1454500
2014-03-24 04:00:00,107.682859428914,107.78468952445654,106.61367255887467,106.85550689697266,667000
2014-03-25 04:00:00,107.25642732348356,107.67646906875748,106.50545242531177,107.47917938232422,774000
2014-03-26 04:00:00,107.65103284586519,108.04562202563115,106.35273315816184,106.81095886230469,775300
2014-03-27 04:00:00,106.70279559049101,106.92553804991898,105.84999019736873,106.65824127197266,672000
2014-03-28 04:00:00,106.95727093335437,107.72097675613702,106.67088246369165,106.93817901611328,507700
2014-03-31 04:00:00,107.29464696716136,107.9056178651264,106.57549493904722,107.23101043701172,663000
2014-04-01 04:00:00,107.3583060420888,107.94381462914392,106.54368455479,107.86744689941406,606800
2014-04-02 04:00:00,107.61923254476424,108.27474806309083,107.23101376789627,108.16018676757812,545100
2014-04-03 04:00:00,108.09015714225082,108.09015714225082,107.28826708585139,107.75922393798828,442500
2014-04-04 04:00:00,108.40837177093077,108.47201800248156,107.54283546151798,107.90560150146484,506200
2014-04-07 04:00:00,107.94378823725836,108.78386219205386,107.4919232877099,108.0519790649414,604100
2014-04-08 04:00:00,107.95649525500681,109.12115114314048,107.43462345014983,109.0638656616211,620600
2014-04-09 04:00:00,109.03841003144177,109.0575019544118,107.6128182796997,108.27470397949219,547900
2014-04-10 04:00:00,108.58020592113164,109.05752351183276,107.60647881298547,107.75922393798828,734000
2014-04-11 04:00:00,107.18008766639255,108.45929544958264,107.17371721609935,107.2246322631836,682700
2014-04-14 04:00:00,107.86740865726289,108.00742258616465,107.05278745877115,107.86103820800781,692300
2014-04-15 04:00:00,108.03289495711736,108.99389099801769,107.67012888122864,108.76477813720703,784100
2014-04-16 04:00:00,109.14667136806784,109.80854778454909,108.57389388671012,109.50943756103516,682800
2014-04-17 04:00:00,109.159365137657,109.72578168340638,108.67567704619533,109.6430435180664,505400
2014-04-21 04:00:00,109.86579080769805,110.2540095272361,109.4393882323123,110.20309448242188,680100
2014-04-22 04:00:00,110.0313024318321,110.45770518165136,109.29941899921286,110.29859924316406,412800
2014-04-23 04:00:00,110.40042937444933,110.40042937444933,109.64308355348086,110.29859924316406,772700
2014-04-24 04:00:00,110.42583732418149,110.74404907226564,109.95489015209016,110.74404907226562,383400
2014-04-25 04:00:00,110.78860206413376,110.87770096409835,110.20945435883797,110.47039031982422,514300
2014-04-28 04:00:00,110.90954451357719,111.76234981478642,110.44494828933556,111.75598907470703,752300
2014-04-29 04:00:00,112.20148903459322,112.46878579654297,111.48232721795559,111.9787368774414,644400
2014-04-30 04:00:00,111.88322237707709,111.96595080573955,110.96041049886284,111.69865417480469,527700
2014-05-01 04:00:00,111.54592326297156,112.3223605267816,110.29216848670698,112.13143157958984,751900
2014-05-02 04:00:00,109.71941560515302,109.78942258375668,107.86743046400628,108.5356674194336,1231800
2014-05-05 04:00:00,108.31291740704113,109.46484239240215,108.24291043334809,109.4202880859375,971400
2014-05-06 04:00:00,108.8729720545963,109.31846655931002,108.23654855899046,108.73931884765625,575900
2014-05-07 04:00:00,109.05756699741855,110.32405367238918,108.87300839495248,110.22858428955078,870500
2014-05-08 04:00:00,109.67480833515927,110.00575110954354,108.31286311144166,109.14657592773438,744500
2014-05-09 04:00:00,109.12116621667425,109.94214817329696,108.57384167524214,109.2357177734375,463000
2014-05-12 04:00:00,109.38843526713674,109.8275688792599,108.93020973370811,109.38206481933594,564000
2014-05-13 04:00:00,109.49027158507005,110.51491359250339,107.1036839631958,108.46562957763672,708700
2014-05-14 04:00:00,108.64384321853805,109.41391009670073,108.11561062959937,109.24207305908203,670300
2014-05-15 04:00:00,109.00026369493254,109.34392813770522,107.51739566399226,108.54203796386719,558000
2014-05-16 04:00:00,108.36381122823495,109.76394071681199,107.9501302061451,109.7002944946289,801700
2014-05-19 04:00:00,109.31846770597198,109.60485633978823,108.51656787802415,109.4202880859375,444700
2014-05-20 04:00:00,109.58577187294432,109.85942933625282,108.21745542324386,108.70750427246094,495300
2014-05-21 04:00:00,108.74570088146415,109.15301160997032,108.26202242606736,108.39567565917969,335500
2014-05-22 04:00:00,108.57384204703635,108.86023065097608,107.95014008790871,108.01378631591797,469800
2014-05-23 04:00:00,108.49744927230414,109.19115809962008,108.26833647937539,109.0638656616211,420100
2014-05-27 04:00:00,109.26753352274133,109.77667417760314,109.07660456328688,109.71302795410156,507100
2014-05-28 04:00:00,109.60480981015128,109.60480981015128,108.30014024212474,108.47197723388672,653700
2014-05-29 04:00:00,108.5547499264258,109.01296586527815,108.0965242765225,108.18562316894531,742200
2014-05-30 04:00:00,108.19201191173379,109.81489403262049,108.16655924061807,109.70670318603516,1299200
2014-06-02 04:00:00,109.59846141634681,109.97394883492365,109.28024976445816,109.54754638671875,498000
2014-06-03 04:00:00,109.63670070356254,109.90399746099382,108.70115719702613,108.83480072021484,494200
2014-06-04 04:00:00,108.54841312282997,109.6876168623283,108.33203141859758,109.52214050292969,737900
2014-06-05 04:00:00,109.53484700047541,111.2340965495419,109.29937341725343,111.11954498291016,580600
2014-06-06 04:00:00,111.14501288696026,111.37412576268562,109.61760018949325,109.99308776855469,423700
2014-06-09 04:00:00,109.87851852857844,110.63586408276078,108.62476339806778,109.03844451904297,583800
2014-06-10 04:00:00,108.8284005624055,109.59847714334082,108.8284005624055,109.21025848388672,663100
2014-06-11 04:00:00,109.02419933098437,109.44769629564861,108.55578157115947,109.03702545166016,648100
2014-06-12 04:00:00,109.1204421379461,109.3065285844942,108.22853722116723,108.71619415283203,455300
2014-06-13 04:00:00,108.6840896407922,109.08832772555022,107.9397636379469,108.78033447265625,556700
2014-06-16 04:00:00,108.69054317482708,109.56319920877145,108.23496128884761,108.43388366699219,478600
