Date,open,high,low,close,volume,capital gains
2016-03-11 05:00:00,24.20933475323495,24.42341423034668,24.18655882503297,24.42341423034668,4448000,0.0
2016-03-14 04:00:00,24.318652501434748,24.40519686179821,24.2184439736705,24.314098358154297,4298600,0.0
2016-03-15 04:00:00,24.1865608545062,24.24577514519309,24.045359818138373,24.23211097717285,2575200,0.0
2016-03-16 04:00:00,24.154673012353214,24.53728529753412,24.141008846383656,24.514511108398438,6804800,0.0
2016-03-17 04:00:00,24.441634879235735,24.71948452956597,24.423414831249627,24.68304443359375,6516400,0.0
2016-03-18 04:00:00,24.710371974334482,25.006441642322553,24.710371974334482,24.997331619262695,2838400,0.0
2016-03-21 04:00:00,24.865238891233602,25.001885762013007,24.7786962785038,24.997331619262695,4020200,0.0
2016-03-22 04:00:00,24.856132415087092,25.06110361928474,24.79236398212771,24.98366928100586,1640600,0.0
2016-03-23 04:00:00,24.992777152882596,24.992777152882596,24.678489158553663,24.687599182128906,3672200,0.0
2016-03-24 04:00:00,24.50995766170958,24.655714561388727,24.414303284528206,24.646604537963867,3466200,0.0
2016-03-28 04:00:00,24.687601213248588,24.69671123757334,24.52817839390464,24.637496948242188,2957600,0.0
2016-03-29 04:00:00,24.546397942438396,25.01555289146783,24.46440946274556,24.979114532470703,5163600,0.0
2016-03-30 04:00:00,25.129422906666907,25.348059987568494,25.074764505221136,25.229631423950195,5981600,0.0
2016-03-31 04:00:00,25.13398069374538,25.197749123196257,25.065656383585505,25.08843231201172,3000000,0.0
2016-04-01 04:00:00,24.89256781187837,25.215965796565303,24.828797653401697,25.20685577392578,3118400,0.0
2016-04-04 04:00:00,25.220523106562787,25.23418901101796,24.965449390857884,25.010997772216797,5429000,0.0
2016-04-05 04:00:00,24.828801503475866,24.96545012669898,24.783253120774443,24.824247360229492,3150600,0.0
2016-04-06 04:00:00,24.705820791666607,25.07932309407511,24.61472228771246,25.056547164916992,2722200,0.0
2016-04-07 04:00:00,24.901676362528868,24.960890641537706,24.63293851081306,24.724035263061523,3979400,0.0
2016-04-08 04:00:00,24.983667377289603,25.070211733333775,24.755921998325945,24.842466354370117,2350800,0.0
2016-04-11 04:00:00,25.00188758323221,25.220522939917217,24.85157653569349,24.869794845581055,5078600,0.0
