Date,open,high,low,close,volume
2014-03-14 04:00:00,5.545401096343994,5.602965756619547,5.535806757556442,5.545401096343994,15000
2014-03-17 04:00:00,5.593371638326439,5.718095302581787,5.574183417478175,5.718095302581787,19400
2014-03-18 04:00:00,5.756472110748291,5.804442894664513,5.650936660622581,5.756472110748291,78200
2014-03-19 04:00:00,5.756471947377515,5.938760280609131,5.727689386347981,5.938760280609131,443500
2014-03-20 04:00:00,5.871601357078208,5.986730687809162,5.804442809560131,5.948354244232178,74300
2014-03-21 04:00:00,5.996324963922427,6.140236854553223,5.852413073291631,6.140236854553223,28600
2014-03-24 04:00:00,6.092266063944648,6.140236846587108,5.8524130656989275,5.89078950881958,18300
2014-03-25 04:00:00,5.852413221097436,5.852413221097436,5.708501326832068,5.756472110748291,48000
2014-03-26 04:00:00,5.708501326832068,5.890789665237094,5.708501326832068,5.756472110748291,37700
2014-03-27 04:00:00,5.564589683154103,5.708501114585427,5.43986601559589,5.583777904510498,21200
2014-03-28 04:00:00,5.650936300871229,5.775659965126578,5.641342419188733,5.718095302581787,22100
2014-03-31 04:00:00,5.766066438478361,5.890789652930026,5.737283876692099,5.804442882537842,10400
2014-04-01 04:00:00,5.81403669171273,5.948354244232178,5.81403669171273,5.948354244232178,8600
2014-04-02 04:00:00,5.948354512466812,6.07307818845794,5.938760629881587,6.0251078605651855,17900
2014-04-03 04:00:00,6.053889681277542,6.178613351406784,5.9963250160217285,5.9963250160217285,22000
2014-04-04 04:00:00,6.1402371964877736,6.149831079072999,6.0251078605651855,6.0251078605651855,25400
2014-04-07 04:00:00,5.996324836476864,6.0155130576542595,5.401489522494346,5.430271625518799,40400
2014-04-08 04:00:00,5.497430545447442,5.622154209960574,5.353518660046387,5.420677661895752,21300
2014-04-09 04:00:00,5.382301220119906,5.497430545447442,5.3727068809343095,5.420677661895752,9700
2014-04-10 04:00:00,5.478242820115188,5.622154718534351,5.372707366943359,5.372707366943359,14100
2014-04-11 04:00:00,5.439866024735411,5.439866024735411,4.902595368370385,5.03691291809082,87000
