Date,open,high,low,close,volume,capital gains
2016-03-11 05:00:00,98.39488727929468,99.04595184326172,98.08795380082242,99.04595184326172,31454000,0.0
2016-03-14 04:00:00,98.67390612830468,99.44588770612438,98.64600437663645,99.21336364746094,25374900,0.0
2016-03-15 04:00:00,98.85992578895967,99.28776918873626,98.54368939151645,99.17615509033203,26524600,0.0
2016-03-16 04:00:00,98.93435292633278,100.32019452365655,98.90644407467467,100.05976867675781,31693100,0.0
2016-03-17 04:00:00,99.77142794910566,100.23647610362872,99.39939510234457,100.00395202636719,29623700,0.0
2016-03-18 04:00:00,100.24462097292009,100.41253519701358,99.6289402293243,100.1606674194336,37682300,0.0
2016-03-21 04:00:00,99.98341749322675,100.6457438104549,99.92744846045596,100.55245971679688,17288600,0.0
2016-03-22 04:00:00,99.98344231854084,101.09354252492719,99.96478834202561,100.8603286743164,18840300,0.0
2016-03-23 04:00:00,100.66443230557502,100.73905533054564,99.80619990575316,100.03009033203125,20912900,0.0
2016-03-24 04:00:00,99.54500162019934,100.08605947520272,99.37708735889215,100.05807495117188,19017300,0.0
2016-03-28 04:00:00,100.33789567084065,100.35655675905853,99.74086895602537,99.9181137084961,13892300,0.0
2016-03-29 04:00:00,99.73154858485438,101.58792836070343,99.56363437134763,101.52262878417969,29963900,0.0
2016-03-30 04:00:00,102.12898925225791,102.65138588076778,101.80248424231895,102.01704406738281,23807200,0.0
2016-03-31 04:00:00,101.94242035010772,102.32489441795842,101.70920653813653,101.86779022216797,21447200,0.0
2016-04-01 04:00:00,101.25210913449156,102.98722045935793,101.11217942433382,102.94990539550781,26389000,0.0
2016-04-04 04:00:00,102.94992592982639,103.02455607241228,102.31558395209048,102.5581283569336,17163000,0.0
2016-04-05 04:00:00,101.76518893485093,102.14766305291127,101.43869097865408,101.56929016113281,20107900,0.0
2016-04-06 04:00:00,101.67190787073712,103.27642029459703,101.67190787073712,103.23910522460938,25056000,0.0
2016-04-07 04:00:00,102.64204598906805,102.82862128020288,101.3173934490491,101.7558364868164,28567200,0.0
2016-04-08 04:00:00,102.39022371279867,102.63276102330263,101.32676899098041,101.6812515258789,22898000,0.0
2016-04-11 04:00:00,102.11968462213285,102.63275083615544,101.29876729230136,101.30809783935547,25772100,0.0
2016-04-12 04:00:00,101.38271084109557,102.3528811741588,100.76702294781433,102.156982421875,28564100,0.0
2016-04-13 04:00:00,102.94057079215311,103.62155822561063,102.80997163238654,103.46297454833984,25356700,0.0
2016-04-14 04:00:00,103.48162058322166,103.8547640612694,102.6140650215366,103.4722900390625,17199700,0.0
2016-04-15 04:00:00,103.38835012347188,103.60290284757956,102.94990701274645,103.21110534667969,21353300,0.0
2016-04-18 04:00:00,102.91259576368262,103.79880544625722,102.8472961777784,103.7614974975586,17126100,0.0
