Date,open,high,low,close,volume
2016-03-14 04:00:00,1320.219970703125,1341.300048828125,1317.5899658203125,1325.72998046875,490200
2016-03-15 04:00:00,1315.1500244140625,1339.0,1315.1500244140625,1332.1300048828125,383000
2016-03-16 04:00:00,1328.199951171875,1357.9000244140625,1325.0,1350.989990234375,536200
2016-03-17 04:00:00,1341.699951171875,1356.3299560546875,1337.1099853515625,1346.8599853515625,389400
2016-03-18 04:00:00,1353.0,1361.6300048828125,1338.300048828125,1344.219970703125,472700
2016-03-21 04:00:00,1340.949951171875,1351.0,1333.3599853515625,1350.510009765625,256200
2016-03-22 04:00:00,1311.0,1328.1500244140625,1306.0,1319.4100341796875,840100
2016-03-23 04:00:00,1322.9100341796875,1323.8399658203125,1300.0,1306.1099853515625,447900
2016-03-24 04:00:00,1300.0,1304.43994140625,1291.6300048828125,1301.18994140625,383700
2016-03-28 04:00:00,1301.3499755859375,1304.7099609375,1271.010009765625,1287.030029296875,453800
2016-03-29 04:00:00,1281.199951171875,1313.9000244140625,1281.199951171875,1307.8900146484375,427700
2016-03-30 04:00:00,1316.9000244140625,1323.0899658203125,1311.0400390625,1317.030029296875,376400
2016-03-31 04:00:00,1312.31005859375,1314.989990234375,1288.3299560546875,1288.9599609375,488200
2016-04-01 04:00:00,1278.0,1301.719970703125,1273.0,1299.699951171875,567300
2016-04-04 04:00:00,1297.550048828125,1298.199951171875,1276.2900390625,1281.760009765625,357100
2016-04-05 04:00:00,1270.0,1287.8599853515625,1265.56005859375,1279.0799560546875,373200
2016-04-06 04:00:00,1280.219970703125,1294.8800048828125,1273.2099609375,1293.010009765625,280400
2016-04-07 04:00:00,1291.469970703125,1292.3299560546875,1271.449951171875,1276.5,389200
2016-04-08 04:00:00,1282.780029296875,1283.550048828125,1271.31005859375,1274.1500244140625,300400
2016-04-11 04:00:00,1281.949951171875,1288.3900146484375,1263.2099609375,1264.6300048828125,293800
