symbol,entry_date,ml_rank,regime,signals_aligned,insider_confirmed,vix_rising,vix,equity_return,call_cost,call_pnl,call_return,kelly_fraction,kelly_weighted_pnl
NVDA,2017-03-24,1.0,CHOPPY,2,False,True,12.960000038146973,-0.0664371234264196,0.05989598279842724,-0.014240216195406191,-0.23774910319661893,0.2,-0.04754982063932379
ET,2017-04-05,0.9973614775725592,CHOPPY,2,False,True,12.890000343322754,-0.02409643730458169,0.423276645091214,-0.08600053510356398,-0.20317807774400426,0.2,-0.04063561554880085
AEP,2017-04-10,1.0,CHOPPY,2,False,True,14.050000190734863,0.005333342375578704,1.6313439944040227,0.06774735130621035,0.04152855040911247,0.2,0.008305710081822494
MSFT,2017-03-24,0.9551451187335092,CHOPPY,2,False,True,12.960000038146973,0.010772497877495037,1.4486056600913755,0.44691436866500944,0.3085134767710482,0.2,0.061702695354209636
COF,2017-04-17,0.992084432717678,CHOPPY,2,False,True,14.65999984741211,-0.017228919339467245,2.0930398818012192,-0.4135235069613057,-0.1975707728060286,0.2,-0.039514154561205724
ORCL,2017-03-27,0.9736147757255936,CHOPPY,2,False,True,12.5,-0.018733277201815775,0.9641421374056136,-0.19167056591115184,-0.19879907585712772,0.2,-0.039759815171425544
CGNX,2017-04-13,0.9630606860158312,CHOPPY,2,False,True,15.960000038146973,0.06902160065706642,1.0958080263371228,2.6156679825270697,2.386976477321736,0.2,0.4773952954643472
AAPL,2017-04-07,0.8865435356200527,CHOPPY,2,False,True,12.869999885559082,0.0020929472542375767,0.7933254491337486,-0.06922146802695184,-0.08725481843868295,0.2,-0.01745096368773659
AAPL,2017-05-04,0.8680738786279684,TRENDING_BULL,2,False,True,10.460000038146973,0.041015454561548016,0.6591187804601113,1.4036212915313586,2.129542251172895,0.2,0.4259084502345791
LLY,2017-05-17,0.9815303430079156,TRENDING_BULL,2,False,True,15.59000015258789,0.023675434970200058,2.0954869881922367,1.5059771211143809,0.7186764363607802,0.2,0.14373528727215604
AMZN,2017-06-06,0.8970976253298153,TRENDING_BULL,2,False,True,10.449999809265137,-0.01037886674513609,0.9014729063812635,-0.17306272067627326,-0.19197772828358212,0.2,-0.03839554565671643
INTU,2017-05-16,0.8865435356200527,TRENDING_BULL,2,False,True,10.649999618530272,0.10305881874234069,2.3357438955953835,12.907928644717183,5.526260250131977,0.2,1.1052520500263954
ORCL,2017-06-27,0.8918205804749341,TRENDING_BULL,2,False,True,11.0600004196167,-0.005911315015971367,0.9655096872532649,-0.18183442740066813,-0.18832998757160138,0.2,-0.03766599751432028
