symbol,entry_date,engine,side,regime,hold_days,ml_rank,opt_type,strike,sigma,entry_price,exit_price,equity_return,options_return,leverage,eq_pnl_1k,opt_pnl_1k,options_better
MSFT,2017-07-24,momentum,long,TRENDING_BULL,22,0.8707124010554089,30d_call_30DTE,72.38,0.12259000396728514,73.67705877685547,73.07356121826172,-0.008191119035052175,-0.5085081313711083,37.44611175361545,-8.191119035052175,-508.5081313711082,False
NVDA,2017-07-25,momentum,long,TRENDING_BULL,22,0.9683377308707124,30d_call_30DTE,4.07,0.12259000396728514,4.138760839462281,4.120492347717285,-0.004414000338171093,-0.4139351996660625,38.46253984389975,-4.4140003381710935,-413.9351996660625,False
LLY,2017-07-25,momentum,long,TRENDING_BULL,22,0.9287598944591028,30d_call_30DTE,82.43,0.12259000396728514,83.90747785949706,80.52862243652343,-0.040268823580080874,-0.9716358923552953,37.442323299041156,-40.26882358008088,-971.6358923552955,False
INTU,2017-07-26,momentum,long,TRENDING_BULL,22,0.9313984168865436,30d_call_30DTE,134.81,0.12480000495910647,137.274,134.19108670043946,-0.022458100583945574,-0.8090060834907156,36.817041369526926,-22.458100583945573,-809.0060834907156,False
ADBE,2017-07-27,momentum,long,TRENDING_BULL,25,0.8839050131926122,30d_call_30DTE,147.34,0.1314299955368042,150.16973510742187,148.96147451782227,-0.008045966044591417,-0.5388793465558124,35.174914565106015,-8.045966044591417,-538.8793465558124,False
AAPL,2017-07-28,momentum,long,TRENDING_BULL,24,0.8839050131926122,30d_call_30DTE,36.83,0.13376999950408935,37.54744484710693,39.22389667510986,0.044648892483348426,1.233051065788729,34.67388950718684,44.648892483348426,1233.0510657887291,True
MS,2017-08-09,momentum,long,TRENDING_BULL,12,0.8891820580474934,30d_call_30DTE,46.34,0.1444299955368042,47.314441223144534,44.58033281743083,-0.05778591768249135,-0.9475636165916276,32.34790839831245,-57.78591768249135,-947.5636165916276,False
SYK,2017-08-03,momentum,long,TRENDING_BULL,20,0.8944591029023746,30d_call_30DTE,141.99,0.13571999454498293,144.80904428100587,138.94217325381692,-0.04051453454664149,-0.9371554627947833,34.150678451943236,-40.51453454664149,-937.1554627947831,False
RH,2017-08-17,meanrev,long,CHOPPY,7,0.9630606860158312,ATM_call_21DTE,50.87,0.20215000247955323,50.869998931884766,45.15642610208323,-0.11231714074639639,-0.9997923934437798,48.80182747654539,-112.31714074639639,-999.7923934437798,False
SHOP,2017-09-07,meanrev,long,CHOPPY,1,0.9921052631578948,ATM_call_21DTE,11.05,0.15015000247955324,11.04699993133545,11.323307718276975,0.02501202033664935,0.9819881544317016,64.97972472272168,25.012020336649353,981.9881544317016,True
SNPS,2017-09-11,meanrev,long,CHOPPY,3,0.9842105263157894,ATM_call_21DTE,79.93,0.13948999404907228,79.93000030517578,80.04957908630371,0.0014960437967142634,-0.10849898272883723,68.90410124944299,1.4960437967142635,-108.49898272883722,False
NRG,2017-09-07,meanrev,long,CHOPPY,11,1.0,ATM_call_21DTE,24.1,0.15015000247955324,24.100000381469727,23.792320152282716,-0.012766814287006517,-0.7281618003661454,64.39380904237171,-12.766814287006516,-728.1618003661454,False
