symbol,earnings_date,entry_date,beat_streak,surprise,entry_price,exit_price,mom_60d,above_sma200,vix_at_entry,equity_return,call_cost,call_pnl,call_return,hold_days
ANET,2025-09-30,2025-09-10,4,0.0498,150.72000122070312,149.27000427246094,0.3690950400229368,True,15.350000381469728,-0.009620467996937714,3.714338686485809,-3.3516647965404394,-0.9023584221694924,21
ITW,2025-09-30,2025-09-10,4,0.0395,262.54998779296875,259.9200134277344,0.0689392180014083,True,15.350000381469728,-0.010017042420539801,6.470273148205401,-5.838758445677316,-0.902397520465849,21
MRNA,2025-12-31,2025-12-11,4,0.18879999,29.6299991607666,30.86000061035156,0.1410731865076098,True,14.850000381469728,0.04151203119889438,0.706415672851532,0.5919740263984307,0.837996733578767,22
GE,2025-03-31,2025-03-11,4,0.1751,191.72000122070312,203.7899932861328,0.12038390196172377,True,26.920000076293945,0.0629563529552403,8.285995669843253,4.652343311968032,0.5614706424359067,21
GE,2025-06-30,2025-06-10,4,0.1597,242.0,249.02000427246097,0.16516529430042615,True,16.950000762939453,0.0290082821176073,6.585478105462653,1.1026228459573701,0.16743246705850326,21
GE,2025-09-30,2025-09-10,4,0.1301,283.4100036621094,300.8800048828125,0.16537881433379648,True,15.350000381469728,0.061642147401160294,6.984346684006393,11.216687689067072,1.605975218090535,21
CGNX,2025-09-30,2025-09-10,4,0.1354,44.400001525878906,45.83000183105469,0.3121621651808536,True,15.350000381469728,0.032207212973681856,1.0941921577223803,0.4471590187907746,0.4086658962366903,21
BMY,2025-03-31,2025-03-11,4,0.1988,61.5099983215332,59.54999923706055,0.07901149289989375,True,26.920000076293945,-0.031864723426378416,2.658416318063597,-2.404674427334821,-0.9045514846547424,21
BMY,2025-12-31,2025-12-11,4,0.045700002,51.20000076293945,53.459999084472656,0.10937504307366844,True,14.850000381469728,0.0441405915596993,1.22067107706307,1.1577989130433832,0.9484937710075372,22
LPLA,2025-06-30,2025-06-10,4,0.0708,379.2200012207031,373.0499877929687,0.13430196854553667,True,16.950000762939453,-0.016270274267900578,10.319607500795293,-9.318750326054003,-0.9030140269710687,21
LPLA,2025-12-31,2025-12-11,4,0.0683,387.4500122070313,361.6300048828125,0.12409347160931969,True,14.850000381469728,-0.06664087368881552,9.237285481667325,-8.435884231792201,-0.9132427755463859,22
ATI,2025-06-30,2025-06-10,4,0.0376,82.66000366210938,83.88999938964844,0.3784176289400846,True,16.950000762939453,0.014880179930392161,2.2494034889019994,-0.7943389756087651,-0.3531331659828204,21
ATI,2025-12-31,2025-12-11,4,0.0792,110.6500015258789,119.1999969482422,0.27266152510525843,True,14.850000381469728,0.07727063085818048,2.6380323149798053,6.176119911989314,2.34118432777295,22
VRT,2025-06-30,2025-06-10,4,0.1436,108.47000122070312,122.54000091552734,0.17875909626105513,True,16.950000762939453,0.12971328050597228,2.9517637113158988,11.446998999517783,3.8780200988427698,21
VRT,2025-09-30,2025-09-10,4,0.2502,136.74000549316406,161.58999633789062,0.14838385059108547,True,15.350000381469728,0.18173167943867655,3.3698161377388276,21.872781867641063,6.49079385153573,21
VRT,2025-12-31,2025-12-11,4,0.049000002,178.66000366210938,175.61000061035156,0.20541809132418376,True,14.850000381469728,-0.017071549251314967,4.259474528292928,-3.8703086071041914,-0.9086352275136853,22
ETN,2025-06-30,2025-06-10,4,0.0095,324.239990234375,355.0400085449219,0.0833024304883641,True,16.950000762939453,0.09499142375461848,8.823451886792979,22.929104559392705,2.5986546822693275,21
ETN,2025-09-30,2025-09-10,4,0.0050999997,362.25,373.8399963378906,0.06691508691338854,True,15.350000381469728,0.03199446884165804,8.927276925968215,3.5710198192939338,0.40001221524856373,21
INSP,2025-12-31,2025-12-11,4,1.4205,137.3699951171875,92.2699966430664,0.39288050891512305,True,14.850000381469728,-0.32831040312440296,3.2750698710383968,-3.070592118536391,-0.9375653770595209,22
USB,2025-09-30,2025-09-10,4,0.09020001,49.20000076293945,47.880001068115234,0.12296746226105322,True,15.350000381469728,-0.026829261673884483,1.212483178933355,-1.0961515266191635,-0.9040550381766692,21
USB,2025-12-31,2025-12-11,4,0.060300004,53.58000183105469,53.93000030517578,0.06289665232203846,True,14.850000381469728,0.006532259465475353,1.2774132337805826,-0.8079015304838868,-0.6324511983431178,22
ROK,2025-06-30,2025-06-10,4,0.056599997,325.2200012207031,338.6099853515625,0.1944222703062427,True,16.950000762939453,0.041172080685691184,8.850120650816022,5.448321446449276,0.6156211492943788,21
ROK,2025-09-30,2025-09-10,4,0.1364,339.3900146484375,349.32000732421875,0.04446220043067558,True,15.350000381469728,0.02925835247706798,8.363916208902719,2.4148018789899623,0.28871665122847584,21
ROK,2025-12-31,2025-12-11,4,0.1073,413.0499877929687,398.5499877929687,0.1561311999522416,True,14.850000381469728,-0.03510470991048128,9.84762042904283,-8.964401520096095,-0.9103114386555836,22
MDT,2025-07-31,2025-07-11,4,0.0254,89.91999816894531,89.33999633789062,0.08396347393355198,True,16.399999618530273,-0.006450198430442099,2.367567389651284,-2.135654374184336,-0.9020458651016029,21
MDT,2025-10-31,2025-10-10,4,0.0349,95.4499969482422,90.1999969482422,0.061183829487782795,True,21.65999984741211,-0.05500262093090285,3.31922421527832,-3.0667281021020925,-0.923929178386325,24
MDT,2026-01-31,2026-01-09,4,0.0186,97.52999877929688,102.70999908447266,0.022454654658225336,True,14.489999771118164,0.05311186681031071,2.2688658561601245,3.1034749881431947,1.3678530089018044,24
HIG,2025-03-31,2025-03-11,4,0.024500001,117.19000244140624,124.38999938964844,0.035497939887741865,True,26.920000076293945,0.06143866198690562,5.0648646286027335,2.6651567367218743,0.5262049298753169,21
HIG,2025-06-30,2025-06-10,4,0.2036,124.9000015258789,126.5999984741211,0.035548457863599746,True,16.950000762939453,0.01361086411107812,3.3988687000864766,-1.3592161535565341,-0.399902518600366,21
HIG,2025-09-30,2025-09-10,4,0.1759,131.24000549316406,132.89999389648438,0.04099363500173527,True,15.350000381469728,0.012648493857361023,3.2342743210574607,-1.2513854261408857,-0.3869138180374692,21
HIG,2025-12-31,2025-12-11,4,0.26229998,135.2899932861328,137.11000061035156,0.028679058441649988,True,14.850000381469728,0.013452638144267691,3.225480065617056,-1.1016259245526694,-0.3415385933696419,22
