entry_date,entry_vix,exit_date,exit_vix,max_vix,hold_days,put_strike,vix_drop_pct,resolved,theoretical_put_gain_pts
2018-02-05,37.31999969482422,2018-02-14,19.260000228881836,37.31999969482422,9,30.0,-0.48392281922893643,True,7.319999694824219
2018-12-21,30.11000061035156,2019-01-04,21.3799991607666,36.06999969482422,14,24.0,-0.28993694030626016,True,6.110000610351559
2020-02-27,39.15999984741211,2020-08-17,21.350000381469727,82.69000244140625,172,31.0,-0.45480080529467515,True,8.15999984741211
2020-05-12,33.040000915527344,2020-08-17,21.350000381469727,40.790000915527344,97,26.0,-0.3538135656819499,True,7.040000915527344
2020-06-11,40.790000915527344,2020-08-17,21.350000381469727,40.790000915527344,67,33.0,-0.47658740126817406,True,7.790000915527344
2020-07-13,32.189998626708984,2020-08-17,21.350000381469727,32.189998626708984,35,26.0,-0.3367505035009537,True,6.189998626708984
2020-09-03,33.599998474121094,2020-11-24,21.63999938964844,40.279998779296875,82,27.0,-0.3559523698694305,True,6.599998474121094
2020-10-26,32.459999084472656,2020-11-24,21.63999938964844,40.279998779296875,29,26.0,-0.3333333333333332,True,6.459999084472656
2021-01-27,37.209999084472656,2021-02-04,21.770000457763672,37.209999084472656,8,30.0,-0.41494219313625125,True,7.209999084472656
2021-12-01,31.1200008392334,2021-12-07,21.88999938964844,31.1200008392334,6,25.0,-0.29659386891624284,True,6.120000839233398
2022-01-25,31.15999984741211,2022-02-01,21.959999084472656,31.959999084472656,7,25.0,-0.295250346854656,True,6.159999847412109
2022-02-23,31.020000457763672,2022-03-24,21.670000076293945,36.45000076293945,29,25.0,-0.30141844756580627,True,6.020000457763672
2022-04-26,33.52000045776367,2022-07-29,21.329999923706055,34.75,94,27.0,-0.3636634954530334,True,6.520000457763672
2022-05-18,30.959999084472656,2022-07-29,21.329999923706055,34.02000045776367,72,25.0,-0.31104649371893317,True,5.959999084472656
2022-06-13,34.02000045776367,2022-07-29,21.329999923706055,34.02000045776367,46,27.0,-0.37301588369501754,True,7.020000457763672
2022-09-26,32.2599983215332,2022-11-22,21.290000915527344,33.630001068115234,57,26.0,-0.3400495343077406,True,6.259998321533203
2024-08-05,38.56999969482422,2024-08-09,20.3700008392334,38.56999969482422,4,31.0,-0.4718693025562329,True,7.569999694824219
2025-04-03,30.020000457763672,2025-05-09,21.899999618530273,52.33000183105469,36,24.0,-0.2704863662696391,True,6.020000457763672
