sym,earnings_date,strike,straddle_sold,net_credit,wing_width,upper_wing,lower_wing,max_loss,stock_at_sell,stock_at_buy,beyond_wings,ic_pnl,ic_return,ss_pnl,ss_return,implied_move_pct,actual_move_pct
NVDA,2024-02-21,720,93.44000000000003,90.63680000000002,140.16000000000003,860.1600000000001,579.8399999999999,49.5232,681.76,790.41,False,25.39680000000003,0.280204067222144,28.20000000000003,0.3017979452054797,0.12977777777777783,0.159366932644919
NVDA,2024-05-22,950,82.41999999999999,79.94739999999999,123.62999999999998,1073.6299999999999,826.37,43.682599999999994,949.38,1032.74,False,-13.812600000000003,-0.17277109699627513,-11.340000000000003,-0.13758796408638685,0.08675789473684209,0.08780467252312037
NVDA,2024-08-28,128,14.149999999999995,13.725499999999995,21.224999999999994,149.225,106.775,7.499499999999999,126.67,118.26,False,3.8654999999999977,0.28162908455065383,4.289999999999997,0.3031802120141342,0.11054687499999996,0.06639298965816687
NVDA,2024-11-20,145,12.980000000000008,12.590600000000007,19.470000000000013,164.47000000000003,125.52999999999999,6.879400000000006,140.62,146.21,False,8.54060000000002,0.6783314536241335,8.930000000000021,0.6879815100154095,0.0895172413793104,0.039752524534205684
AAPL,2024-02-01,185,6.500000000000017,6.305000000000017,9.750000000000025,194.75000000000003,175.24999999999997,3.4450000000000083,188.1,185.41,False,5.8950000000000164,0.9349722442505949,6.090000000000017,0.9369230769230771,0.03513513513513523,0.014300903774587974
AAPL,2024-05-02,170,8.009999999999996,7.769699999999997,12.014999999999993,182.015,157.985,4.245299999999997,169.69,183.88,True,-4.245299999999997,-0.5463917525773194,-5.8700000000000045,-0.7328339575530596,0.04711764705882351,0.08362307737639223
AAPL,2024-08-01,220,13.489999999999988,13.085299999999988,20.23499999999998,240.23499999999999,199.76500000000001,7.149699999999994,217.15,219.98,False,13.025299999999968,0.9954147019938389,13.429999999999968,0.9955522609340237,0.061318181818181765,0.013032466037301332
AAPL,2024-10-31,230,10.340000000000003,10.029800000000003,15.510000000000005,245.51,214.49,5.480200000000002,232.66,222.91,False,2.9198000000000093,0.2911124847953108,3.2300000000000093,0.3123791102514515,0.04495652173913045,0.04190664488953838
META,2024-02-01,395,39.379999999999995,38.1986,59.06999999999999,454.07,335.93,20.871399999999994,389.62,473.71,True,-20.871399999999994,-0.5463917525773194,-39.33,-0.9987303199593703,0.09969620253164556,0.21582567629998453
META,2024-04-24,495,42.339999999999975,41.06979999999997,63.50999999999996,558.51,431.49,22.44019999999999,483.66,445.31,False,-8.820200000000046,-0.21476121140107943,-7.550000000000047,-0.17831837505904705,0.08553535353535348,0.07929123764628049
META,2024-07-31,470,39.839999999999975,38.644799999999975,59.75999999999996,529.76,410.24,21.115199999999987,466.16,497.2,False,11.444799999999976,0.2961536869125984,12.639999999999976,0.3172690763052205,0.08476595744680845,0.06658657971511919
META,2024-10-30,580,38.60000000000002,37.44200000000002,57.900000000000034,637.9000000000001,522.0999999999999,20.458000000000013,578.4,565.76,False,22.202000000000012,0.5929704609796486,23.360000000000014,0.6051813471502591,0.06655172413793108,0.02185338865836789
AMZN,2024-02-01,155,14.280000000000001,13.851600000000001,21.42,176.42000000000002,133.57999999999998,7.5684000000000005,154.72,171.81,False,-2.9583999999999975,-0.21357821479107086,-2.5299999999999976,-0.17717086834733875,0.09212903225806453,0.11045760082730095
AMZN,2024-04-30,180,11.479999999999995,11.135599999999995,17.21999999999999,197.22,162.78,6.084399999999997,179.72,179.0,False,7.735600000000005,0.6946729408383929,8.080000000000005,0.7038327526132412,0.06377777777777775,0.0040062319163142604
AMZN,2024-08-01,185,29.819999999999993,28.925399999999993,44.72999999999999,229.73,140.27,15.804599999999997,175.18,167.9,False,11.805400000000006,0.4081326446652426,12.700000000000006,0.42588866532528535,0.16118918918918915,0.041557255394451424
AMZN,2024-10-31,190,13.539999999999992,13.133799999999992,20.309999999999988,210.31,169.69,7.176199999999996,193.46,197.93,False,5.203799999999992,0.3962143477135327,5.609999999999992,0.4143279172821267,0.0712631578947368,0.02310555153520107
