symbol,entry_date,ml_rank,regime,vix_at_entry,vix_percentile,entry_price,exit_price,equity_return,call_cost,call_pnl,call_return
WELL,2017-04-25,0.9947229551451188,CHOPPY,10.760000228881836,0.011904761904761904,72.66999816894531,69.02999877929688,-0.05008943830143028,1.3450328004695236,-0.3018270742473008,-0.22440127418598202
FTNT,2017-05-01,0.9577836411609498,TRENDING_BULL,10.109999656677246,0.0,7.829999923706055,8.09000015258789,0.0332056489674618,0.1361690301277222,0.23870460172050179,1.753002143707747
EBAY,2017-06-01,0.920844327176781,TRENDING_BULL,9.890000343322754,0.007936507936507936,34.790000915527344,34.09000015258789,-0.020120745746431738,0.591856187644412,-0.11833095531140053,-0.1999319391799515
NVDA,2017-05-31,0.9894459102902374,TRENDING_BULL,10.40999984741211,0.03968253968253968,3.608750104904175,3.7929999828338623,0.05105642468268941,0.0646208964087182,0.17508559940577412,2.709426967685221
MU,2017-06-22,0.9234828496042216,TRENDING_BULL,10.479999542236328,0.0873015873015873,31.88999938964844,30.200000762939453,-0.05299462712619445,0.5748853216879419,-0.13036867079869796,-0.2267733509283516
MSFT,2017-06-22,0.9577836411609498,TRENDING_BULL,10.479999542236328,0.0873015873015873,70.26000213623047,69.45999908447266,-0.011386322622174825,1.2665865381920791,-0.2441982804510392,-0.19280031256261962
SHOP,2017-07-18,1.0,CHOPPY,9.890000343322754,0.01984126984126984,9.317999839782717,10.407999992370604,0.11697791063852438,0.15852014131979067,1.076051750559659,6.788107439223673
AMD,2017-07-19,0.9894459102902374,CHOPPY,9.789999961853027,0.011904761904761904,13.550000190734863,13.369999885559082,-0.01328415517653356,0.22818518114759065,-0.04434776402379856,-0.1943498863544269
FTNT,2017-06-27,0.9102902374670184,TRENDING_BULL,11.0600004196167,0.19444444444444445,7.440000057220459,7.900000095367432,0.06182796164101456,0.14154467248100885,0.44117161014460693,3.116836560583368
BA,2017-06-27,0.9683377308707124,TRENDING_BULL,11.0600004196167,0.19444444444444445,198.88999938964844,206.44000244140625,0.037960697244342013,3.783846721349784,6.972933735971216,1.8428161205969285
INTU,2017-06-28,0.9815303430079156,TRENDING_BULL,10.029999732971191,0.03571428571428571,135.3699951171875,132.39999389648438,-0.02193987831743693,2.3355479081454043,-0.47041964788932544,-0.20141725470443167
KEY,2017-07-18,0.9261213720316622,CHOPPY,9.890000343322754,0.01984126984126984,18.950000762939453,18.11000061035156,-0.04432718304849274,0.32238214752119493,-0.07082620125591743,-0.21969641247352564
NVDA,2017-07-25,0.9683377308707124,TRENDING_BULL,9.43000030517578,0.003968253968253968,4.133749961853027,4.257500171661377,0.029936549368089104,0.06705348525795349,0.11308466039144341,1.6864844527679488
LLY,2017-07-25,0.9287598944591028,TRENDING_BULL,9.43000030517578,0.003968253968253968,82.19000244140625,81.97000122070312,-0.002676739435066512,1.3332025806866978,-0.24756101090141347,-0.18568896766904042
INTU,2017-07-26,0.9313984168865436,TRENDING_BULL,9.600000381469728,0.01984126984126984,137.13999938964844,136.82000732421875,-0.0023333240983946005,2.2646486826380987,-0.4198852743003696,-0.18540857022080948
SNPS,2017-09-11,0.9842105263157894,CHOPPY,10.729999542236328,0.2261904761904762,79.5999984741211,79.41999816894531,-0.0022613104098777276,1.4691908277894457,-0.2723141839126617,-0.18534977129035543
