symbol,entry_date,ml_rank,regime,sector_etf,sector_outperf,entry_price,exit_price,put_strike,put_premium,stock_return,put_pnl,put_return_on_capital,assigned
NVDA,2017-03-24,1.0,CHOPPY,XLK,0.016334989084724083,2.6867499351501465,2.600500106811523,2.62186262045185,0.025954925879318472,-0.03210191883146114,0.004592412238991431,0.17515838561365882,True
SHOP,2017-04-03,0.9868073878627968,CHOPPY,XLY,0.01985684104555363,6.922999858856201,8.135000228881836,6.763286029270829,0.06388553183414895,0.1750686688914476,0.06388553183414895,0.9445930803112382,False
AEP,2017-04-10,1.0,CHOPPY,XLU,0.02028721801826494,67.5,67.55000305175781,65.73271067272898,0.7069157309084098,0.0007407859519675926,0.7069157309084098,1.0754397980451658,False
MSFT,2017-03-24,0.9551451187335092,CHOPPY,XLK,0.016334989084724083,64.9800033569336,67.83000183105469,63.41068055850127,0.6277291193729295,0.04385962337468838,0.6277291193729295,0.9899422523841245,False
ORCL,2017-03-27,0.9736147757255936,CHOPPY,XLK,0.01716916070295993,44.84000015258789,44.77000045776367,43.79551283706514,0.4177949262090993,-0.0015610993440235035,0.4177949262090993,0.9539674253009546,False
CGNX,2017-04-13,0.9630606860158312,CHOPPY,XLK,0.0058990106020658795,39.915000915527344,46.290000915527344,38.72787555366212,0.4748501447460866,0.15971438942194938,0.4748501447460866,1.2261197857035167,False
INTU,2017-04-03,0.9709762532981532,CHOPPY,XLK,0.020527422005222173,116.16999816894533,125.9499969482422,113.48995257184006,1.0720182388421073,0.08418695819443744,1.0720182388421073,0.9445930803112382,False
AAPL,2017-04-07,0.8865435356200527,CHOPPY,XLK,0.009912608223218156,35.834999084472656,38.314998626708984,34.97556318124443,0.3437743612912911,0.06920607243187889,0.3437743612912911,0.9828987156256552,False
TEAM,2017-04-19,0.9155672823218998,CHOPPY,XLK,0.0030135277188056975,31.829999923706055,35.25,30.944427659877928,0.3542289055312512,0.1074458084980022,0.3542289055312512,1.1447259888750148,False
ADBE,2017-04-20,0.941952506596306,CHOPPY,XLK,0.005846893844309919,131.4199981689453,138.86000061035156,127.95466147938205,1.3861346758253,0.05661240713032007,1.3861346758253,1.0833014286460008,False
AMD,2017-07-19,0.9894459102902374,CHOPPY,XLK,0.014553591867968452,13.550000190734863,12.369999885559082,13.302799577824974,0.09888024516395594,-0.08708489214506689,-0.833919447101936,-6.2687514926710115,True
KEY,2017-07-18,0.9261213720316622,CHOPPY,XLF,0.008550189742491776,18.950000762939453,17.790000915527344,18.60075343645816,0.1396989305925178,-0.061213709799987075,-0.6710535903382979,-3.607668864762264,True
SNPS,2017-09-11,0.9842105263157894,CHOPPY,XLK,0.009797537445524807,79.5999984741211,82.86000061035156,78.0083750773492,0.6366493587087598,0.040954801491489154,0.6366493587087598,0.8161294964514901,False
NRG,2017-09-07,1.0,CHOPPY,XLE,0.0031158700318241195,24.1299991607666,25.739999771118164,23.610641131757895,0.207743211603483,0.06672195053240165,0.207743211603483,0.879871115926854,False
LLY,2017-09-01,0.8578947368421053,CHOPPY,XLV,0.01975891600527846,80.08000183105469,86.95999908447266,78.56831762216491,0.6046736835559083,0.08591404965165642,0.6046736835559083,0.7696151602275416,False
BMY,2017-09-01,0.8789473684210526,CHOPPY,XLV,0.01975891600527846,59.900001525878906,64.73999786376953,58.7692587143318,0.4522971246188431,0.08080127236390097,0.4522971246188431,0.7696151602275415,False
AAPL,2017-09-06,0.9105263157894736,CHOPPY,XLK,0.009952033600899135,40.477500915527344,38.82500076293945,39.60025579333453,0.3508980488771248,-0.04082515262087202,-0.42435698151795503,-1.07160161725365,True
NOW,2017-09-07,0.9210526315789472,CHOPPY,XLK,0.012461825783345315,23.555999755859375,24.266000747680664,23.04899610770243,0.20280145926277854,0.030140983154182694,0.20280145926277854,0.8798711159268542,False
AVGO,2017-11-13,0.9817232375979112,CHOPPY,XLK,0.03599872984928121,26.500999450683594,25.93400001525879,25.933078820303052,0.2271682521522157,-0.021395398180357267,0.2271682521522157,0.8759787209467983,False
INTC,2017-11-21,0.9686684073107048,CHOPPY,XLK,0.04051710457627555,44.939998626708984,46.70000076293945,44.125156588512745,0.3259368152784953,0.039163377614890596,0.3259368152784953,0.738664382130142,False
ITW,2017-12-13,0.8851174934725848,CHOPPY,XLI,0.02515808108472517,163.82000732421875,171.02000427246094,160.7122844542409,1.243089147991152,0.04395065697923307,1.243089147991152,0.773487323767769,False
ANET,2018-02-13,0.9843342036553524,CHOPPY,XLK,0.01325386741496093,18.2862491607666,18.357500076293945,17.435364459560308,0.3403538804825179,0.0038964204687866534,0.3403538804825179,1.952089279647333,False
PSTG,2018-03-07,0.9635416666666666,CHOPPY,XLK,0.048101021772436026,20.34000015258789,18.350000381469727,19.666835240743364,0.26926596473781106,-0.097836762841173,-1.0475688945358261,-5.32657584055822,True
