sym,earnings_date,strike,sell_straddle,buy_straddle,pnl,return,iv_at_sell,iv_at_buy,implied_move_pct,actual_move_pct,overestimate_pct,stock_at_sell,stock_at_buy,stock_move_pct
NVDA,2024-02-21,720,93.44000000000003,65.24,28.20000000000003,0.3017979452054797,1.7429,0.0,0.12977777777777783,0.159366932644919,-0.22799862483242334,681.76,790.41,0.159366932644919
NVDA,2024-05-22,950,82.41999999999999,93.75999999999999,-11.340000000000003,-0.13758796408638685,1.0316,1.4749,0.08675789473684209,0.08780467252312037,-0.01206550469502989,949.38,1032.74,0.08780467252312037
NVDA,2024-08-28,128,14.149999999999995,9.859999999999998,4.289999999999997,0.3031802120141342,1.3291,0.8023,0.11054687499999996,0.06639298965816687,0.3994132384278896,126.67,118.26,-0.06639298965816687
NVDA,2024-11-20,145,12.980000000000008,4.049999999999987,8.930000000000021,0.6879815100154095,1.0469,0.6257,0.0895172413793104,0.039752524534205684,0.5559232621371478,140.62,146.21,0.039752524534205684
AAPL,2024-02-01,185,6.500000000000017,0.41,6.090000000000017,0.9369230769230771,0.532,0.4375,0.03513513513513523,0.014300903774587974,0.5929742771848049,188.1,185.41,-0.014300903774587974
AAPL,2024-05-02,170,8.009999999999996,13.88,-5.8700000000000045,-0.7328339575530596,0.6242,2.5156,0.04711764705882351,0.08362307737639223,-0.7747719293366648,169.69,183.88,0.08362307737639223
AAPL,2024-08-01,220,13.489999999999988,0.06000000000002047,13.429999999999968,0.9955522609340237,0.6814,0.0488,0.061318181818181765,0.013032466037301332,0.787461636159652,217.15,219.98,0.013032466037301332
AAPL,2024-10-31,230,10.340000000000003,7.109999999999994,3.2300000000000093,0.3123791102514515,0.5984,0.5,0.04495652173913045,0.04190664488953838,0.06784058756345995,232.66,222.91,-0.04190664488953838
META,2024-02-01,395,39.379999999999995,78.71,-39.33,-0.9987303199593703,1.3785,5.8614,0.09969620253164556,0.21582567629998453,-1.1648334722827298,389.62,473.71,0.21582567629998453
META,2024-04-24,495,42.339999999999975,49.89000000000002,-7.550000000000047,-0.17831837505904705,1.0101,0.8468,0.08553535353535348,0.07929123764628049,0.07300041013441502,483.66,445.31,-0.07929123764628049
META,2024-07-31,470,39.839999999999975,27.2,12.639999999999976,0.3172690763052205,1.0986,0.8515,0.08476595744680845,0.06658657971511919,0.21446555054954716,466.16,497.2,0.06658657971511919
META,2024-10-30,580,38.60000000000002,15.240000000000009,23.360000000000014,0.6051813471502591,0.9675,0.4626,0.06655172413793108,0.02185338865836789,0.6716330201592392,578.4,565.76,-0.02185338865836789
AMZN,2024-02-01,155,14.280000000000001,16.81,-2.5299999999999976,-0.17717086834733875,1.4659,3.7392,0.09212903225806453,0.11045760082730095,-0.19894454679493317,154.72,171.81,0.11045760082730095
AMZN,2024-04-30,180,11.479999999999995,3.399999999999989,8.080000000000005,0.7038327526132412,0.6814,0.3281,0.06377777777777775,0.0040062319163142604,0.9371845169915882,179.72,179.0,-0.0040062319163142604
AMZN,2024-08-01,185,29.819999999999993,17.119999999999987,12.700000000000006,0.42588866532528535,1.4443,0.5,0.16118918918918915,0.041557255394451424,0.742183358552196,175.18,167.9,-0.041557255394451424
AMZN,2024-10-31,190,13.539999999999992,7.93,5.609999999999992,0.4143279172821267,0.7071,1.8453,0.0712631578947368,0.02310555153520107,0.6757714334055979,193.46,197.93,0.02310555153520107
