symbol,ml_score,px,vol60,candidate,regime,date,rank
LH,0.4679,269.36,0.238,False,CHOPPY,2026-03-26,396
ZTS,0.4676,117.54,0.251,False,CHOPPY,2026-03-26,397
KR,0.4674,71.23,0.305,False,CHOPPY,2026-03-26,398
ABT,0.4674,105.4,0.282,False,CHOPPY,2026-03-26,399
WMT,0.467,122.92,0.259,False,CHOPPY,2026-03-26,400
PSA,0.4659,271.84,0.264,False,CHOPPY,2026-03-26,401
KBH,0.4658,52.33,0.344,False,CHOPPY,2026-03-26,402
MPC,0.4656,249.18,0.368,False,CHOPPY,2026-03-26,403
DOW,0.4651,39.9,0.495,False,CHOPPY,2026-03-26,404
DDOG,0.4647,124.65,0.66,False,CHOPPY,2026-03-26,405
DHR,0.4645,187.81,0.256,False,CHOPPY,2026-03-26,406
CNP,0.464,42.32,0.165,False,CHOPPY,2026-03-26,407
CZR,0.4638,26.72,0.709,False,CHOPPY,2026-03-26,408
PKG,0.4633,212.85,0.274,False,CHOPPY,2026-03-26,409
KMB,0.4628,99.5,0.216,False,CHOPPY,2026-03-26,410
KMI,0.4623,34.26,0.208,False,CHOPPY,2026-03-26,411
NSC,0.4621,280.4,0.214,False,CHOPPY,2026-03-26,412
PEG,0.4619,80.72,0.197,False,CHOPPY,2026-03-26,413
CSX,0.4617,39.58,0.235,False,CHOPPY,2026-03-26,414
DUK,0.4615,129.03,0.143,False,CHOPPY,2026-03-26,415
EMN,0.4611,71.94,0.368,False,CHOPPY,2026-03-26,416
D,0.4607,61.09,0.185,False,CHOPPY,2026-03-26,417
NXPI,0.4603,198.45,0.394,False,CHOPPY,2026-03-26,418
SO,0.4602,95.03,0.191,False,CHOPPY,2026-03-26,419
QCOM,0.4592,131.37,0.306,False,CHOPPY,2026-03-26,420
REGN,0.459,758.05,0.28,False,CHOPPY,2026-03-26,421
HON,0.4585,226.97,0.239,False,CHOPPY,2026-03-26,422
CMS,0.4584,76.12,0.163,False,CHOPPY,2026-03-26,423
VLO,0.4584,247.53,0.41,False,CHOPPY,2026-03-26,424
SRE,0.4576,95.77,0.217,False,CHOPPY,2026-03-26,425
CHD,0.4573,94.12,0.219,False,CHOPPY,2026-03-26,426
AEP,0.4571,129.01,0.183,False,CHOPPY,2026-03-26,427
CVX,0.4571,208.98,0.239,False,CHOPPY,2026-03-26,428
EXC,0.4569,48.3,0.226,False,CHOPPY,2026-03-26,429
SHW,0.4568,322.79,0.259,False,CHOPPY,2026-03-26,430
IONS,0.4549,74.8,0.326,False,CHOPPY,2026-03-26,431
WEC,0.4549,114.02,0.148,False,CHOPPY,2026-03-26,432
PPL,0.4548,37.44,0.19,False,CHOPPY,2026-03-26,433
ESS,0.4546,244.2,0.212,False,CHOPPY,2026-03-26,434
AVB,0.4543,164.61,0.228,False,CHOPPY,2026-03-26,435
OKTA,0.4539,79.12,0.528,False,CHOPPY,2026-03-26,436
BAH,0.4535,80.57,0.504,False,CHOPPY,2026-03-26,437
GD,0.4533,354.6,0.246,False,CHOPPY,2026-03-26,438
RS,0.4518,297.7,0.251,False,CHOPPY,2026-03-26,439
PNW,0.4518,98.18,0.18,False,CHOPPY,2026-03-26,440
APD,0.4513,292.66,0.263,False,CHOPPY,2026-03-26,441
SAIC,0.4511,98.97,0.487,False,CHOPPY,2026-03-26,442
IAC,0.4504,39.29,0.314,False,CHOPPY,2026-03-26,443
SWKS,0.4497,57.1,0.382,False,CHOPPY,2026-03-26,444
LIN,0.4467,493.47,0.187,False,CHOPPY,2026-03-26,445
NUE,0.4434,165.79,0.284,False,CHOPPY,2026-03-26,446
