symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,ml_rank_pct,rule_score,combined_score,side
NVDA,2017-03-24,2017-04-04,2.7256122032403947,2.532909191116532,6332,-1251.8554727682983,stop,1.0,0.40575285477500644,1.0,long
MSFT,2017-03-24,2017-04-05,65.39268061065674,65.52721755981446,229,29.663961357117923,max_hold,0.9325842696629213,0.39781737677384243,1.0,long
BKNG,2017-03-24,2017-04-05,1754.4767755737305,1760.8891345214843,9,57.66623052978396,max_hold,0.9971910112359551,0.4056378428857838,1.0,long
ORCL,2017-03-29,2017-04-10,44.542260457992555,43.978,336,-191.27151388549788,max_hold,0.949438202247191,0.4233767864083612,1.0,long
AAPL,2017-04-05,2017-04-17,36.07302780532837,35.43977170753479,416,-265.514536682131,max_hold,0.9438202247191011,0.4810276944311446,1.0,long
BKNG,2017-04-06,2017-04-18,1765.632375,1762.4284035644532,9,-28.880742919920223,max_hold,0.9719101123595506,0.4007900077261109,1.0,long
NRG,2017-04-07,2017-04-19,18.92946007633209,17.871059161186217,792,-842.2135247955325,max_hold,0.9353932584269663,0.5404416191048669,1.0,long
D,2017-04-12,2017-04-24,77.41868725204468,78.0309646949768,222,134.81559233093182,max_hold,0.9775280898876404,0.3656201077065366,1.0,long
NEE,2017-04-18,2017-05-08,32.741360973358155,33.720630487442016,527,513.4400339221944,max_hold,0.9775280898876404,0.3840335862191926,1.0,long
MSFT,2017-04-19,2017-05-09,65.68282652664185,69.00548091506958,228,756.4252005615239,max_hold,0.9438202247191011,0.38618000173494893,1.0,long
NVDA,2017-04-20,2017-05-10,2.508003481864929,2.9246581194674968,6881,2832.5955613432698,stop,0.9971910112359551,0.1954507378383444,1.0,long
AAPL,2017-04-25,2017-05-15,35.995489665985104,38.90553673744202,416,1208.499581726077,max_hold,0.9578651685393258,0.43103690560579155,1.0,long
ADBE,2017-05-01,2017-05-18,134.3671530532837,133.13234934761047,24,-29.755288936157168,stop,0.9213483146067416,0.4660181698541188,1.0,long
ORCL,2017-05-09,2017-05-18,45.52275,43.91448059761047,390,-629.1750669319173,stop,0.898876404494382,0.43569604458689937,1.0,long
AMZN,2017-05-01,2017-05-22,46.41319438934326,48.50923392105103,641,1340.3563398246786,max_hold,0.8820224719101124,0.5260821593642879,1.0,long
