symbol,inst_shares_q1,inst_shares_q2,inst_pct_change,inst_n_holders,inst_buying,inst_selling,inst_new_position
NVDA,5099518002,5056368527,0.008533688707535934,3,0.008533688707535934,0.0,0.0
AVGO,706991986,703072271,0.005575123869449262,3,0.005575123869449262,0.0,0.0
AMD,364381564,361856455,0.0069782063166456436,3,0.0069782063166456436,0.0,0.0
MU,251679436,249724792,0.007827192423890376,3,0.007827192423890376,0.0,0.0
MRVL,162754232,163609054,-0.00522478419806767,3,0.0,0.00522478419806767,0.0
QCOM,262969321,262322245,0.0024667217986030885,3,0.0024667217986030885,0.0,0.0
TXN,0,0,0.0,0,0.0,-0.0,0.0
INTC,974729609,961036985,0.014247759673890179,3,0.014247759673890179,0.0,0.0
ADI,113930124,113426154,0.004443155147445094,3,0.004443155147445094,0.0,0.0
AMAT,5052640,5003603,0.009800337876526176,3,0.009800337876526176,0.0,0.0
LRCX,203801174,203590058,0.0010369661567658673,3,0.0010369661567658673,0.0,0.0
KLAC,0,0,0.0,0,0.0,-0.0,0.0
SMCI,130899579,131716309,-0.006200674815447493,3,0.0,0.006200674815447493,0.0
ANET,206168850,204173233,0.009774136260065,6,0.009774136260065,0.0,0.0
ARM,2553026,2553026,0.0,2,0.0,-0.0,0.0
MPWR,0,0,0.0,0,0.0,-0.0,0.0
ON,181336935,181566423,-0.0012639341361040087,6,0.0,0.0012639341361040087,0.0
SWKS,43486847,43097679,0.009029906227664836,3,0.009029906227664836,0.0,0.0
NXPI,0,0,0.0,0,0.0,-0.0,0.0
SNPS,40085718,39802041,0.007127197321363495,3,0.007127197321363495,0.0,0.0
CDNS,70485398,70177645,0.00438534236935423,3,0.00438534236935423,0.0,0.0
STX,50735083,50755939,-0.0004109075787170443,3,0.0,0.0004109075787170443,0.0
WDC,92044614,92978347,-0.01004247795457151,2,0.0,0.01004247795457151,0.0
MSFT,1578374795,1562418897,0.010212304799075917,3,0.010212304799075917,0.0,0.0
META,544269897,535883195,0.015650242586912992,44,0.015650242586912992,0.0,0.0
AMZN,1882748821,1887686750,-0.002615862510027154,3,0.0,0.002615862510027154,0.0
GOOGL,2141796549,2121136620,0.00974002749525865,3,0.00974002749525865,0.0,0.0
AAPL,3086096471,3059239719,0.008778897525813668,3,0.008778897525813668,0.0,0.0
TSLA,563852370,557313650,0.011732567468964738,3,0.011732567468964738,0.0,0.0
SNOW,103100246,101652152,0.014245581342931137,3,0.014245581342931137,0.0,0.0
MDB,26317663,26660694,-0.012866544284256065,3,0.0,0.012866544284256065,0.0
DDOG,96101920,96091219,0.00011136293317290522,3,0.00011136293317290522,0.0,0.0
NET,120672036,120581639,0.0007496746664722313,3,0.0007496746664722313,0.0,0.0
TEAM,33533046,33465079,0.002030982804493006,6,0.002030982804493006,0.0,0.0
ZS,30319046,30263525,0.0018345847022116558,3,0.0018345847022116558,0.0,0.0
SHOP,97207492,96390624,0.008474558687367767,11,0.008474558687367767,0.0,0.0
NOW,166919102,85166642,0.9599117457278638,3,0.9599117457278638,0.0,0.0
CRWD,0,0,0.0,0,0.0,-0.0,0.0
PANW,131758769,129099669,0.02059726427338865,3,0.02059726427338865,0.0,0.0
PLTR,437584905,436027077,0.0035727781190065862,3,0.0035727781190065862,0.0,0.0
ADBE,100495482,100581431,-0.0008545215468250795,3,0.0,0.0008545215468250795,0.0
