,equity
2017-03-23 04:00:00,99485.90534282543
2017-03-24 04:00:00,99614.26991535045
2017-03-27 04:00:00,99935.23303771831
2017-03-28 04:00:00,100086.10556851054
2017-03-29 04:00:00,99984.20237408305
2017-03-30 04:00:00,100456.3679643693
2017-03-31 04:00:00,100309.72770081187
2017-04-03 04:00:00,100097.85446224833
2017-04-04 04:00:00,98970.65191461422
2017-04-05 04:00:00,98718.20044729856
2017-04-06 04:00:00,98655.05723981716
2017-04-07 04:00:00,98314.21751813748
2017-04-10 04:00:00,98445.71460993435
2017-04-11 04:00:00,98190.32706048824
2017-04-12 04:00:00,98158.23642328121
2017-04-13 04:00:00,97620.99605157711
2017-04-17 04:00:00,98107.8231070695
2017-04-18 04:00:00,98105.12042541362
2017-04-19 04:00:00,97223.96429560806
2017-04-20 04:00:00,97522.08137891915
2017-04-21 04:00:00,98122.75568578865
2017-04-24 04:00:00,98633.53369181778
2017-04-25 04:00:00,99145.33532732155
2017-04-26 04:00:00,98900.70128434326
2017-04-27 04:00:00,99382.0479747596
2017-04-28 04:00:00,99062.31103264906
2017-05-01 04:00:00,100695.08723914243
2017-05-02 04:00:00,100309.79679524519
2017-05-03 04:00:00,100065.06181680776
2017-05-04 04:00:00,99890.16663348295
2017-05-05 04:00:00,100084.5762604437
2017-05-08 04:00:00,100871.0221093836
2017-05-09 04:00:00,101120.1679484587
2017-05-10 04:00:00,103425.72324298773
2017-05-11 04:00:00,103085.7052986518
2017-05-12 04:00:00,103654.82290672217
2017-05-15 04:00:00,103760.49360888587
2017-05-16 04:00:00,104197.92201274024
2017-05-17 04:00:00,101687.52562182532
2017-05-18 04:00:00,102178.30771770132
2017-05-19 04:00:00,102385.64272920311
2017-05-22 04:00:00,103020.45119585122
2017-05-23 04:00:00,103164.96454729165
2017-05-24 04:00:00,104678.0527030381
2017-05-25 04:00:00,105293.66907228554
2017-05-26 04:00:00,105249.84974302376
2017-05-30 04:00:00,105259.98118188274
2017-05-31 04:00:00,105213.59895992078
2017-06-01 04:00:00,105892.60820960798
2017-06-02 04:00:00,106797.08362197675
2017-06-05 04:00:00,106371.10103677929
2017-06-06 04:00:00,106422.22311281384
2017-06-07 04:00:00,107145.34291073495
2017-06-08 04:00:00,106324.56589606362
2017-06-09 04:00:00,103866.39876084954
2017-06-12 04:00:00,103620.45635525089
2017-06-13 04:00:00,103513.66427151066
2017-06-14 04:00:00,104475.60418239933
2017-06-15 04:00:00,104976.9847117539
2017-06-16 04:00:00,105424.25011931616
2017-06-19 04:00:00,105741.34704982
2017-06-20 04:00:00,105255.70652209478
2017-06-21 04:00:00,105033.06897806555
2017-06-22 04:00:00,104697.51469248682
2017-06-23 04:00:00,104849.02824116021
2017-06-26 04:00:00,104678.73192453652
2017-06-27 04:00:00,103446.77592257023
2017-06-28 04:00:00,104086.36669043064
2017-06-29 04:00:00,102613.72791797496
2017-06-30 04:00:00,102801.45550090648
2017-07-03 04:00:00,102827.78326687029
2017-07-05 04:00:00,103119.67552859668
2017-07-06 04:00:00,102276.19851239232
2017-07-07 04:00:00,103434.34758694677
2017-07-10 04:00:00,103930.80872195987
2017-07-11 04:00:00,103560.17886203555
2017-07-12 04:00:00,104299.0967677615
2017-07-13 04:00:00,104097.4179566882
2017-07-14 04:00:00,103965.63810000637
2017-07-17 04:00:00,103526.48986301449
2017-07-18 04:00:00,103998.96947789981
2017-07-19 04:00:00,103518.39769627906
2017-07-20 04:00:00,104037.26926638938
2017-07-21 04:00:00,103600.9874608741
2017-07-24 04:00:00,103869.39322545387
2017-07-25 04:00:00,103848.65851905204
2017-07-26 04:00:00,104512.95061375953
2017-07-27 04:00:00,102007.20699141875
