symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,year
AXON,2012-01-11 00:00:00,2012-01-18 00:00:00,5.170319847106933,5.249480228424073,2422,191.72644355011195,max_hold,7,2012
MA,2012-01-11 00:00:00,2012-01-18 00:00:00,34.21529335784912,35.16752296447754,366,348.5160360260022,max_hold,7,2012
CL,2012-01-12 00:00:00,2012-01-18 00:00:00,44.363551528930664,45.06468878173828,282,197.7207052917487,regime_exit,6,2012
D,2012-01-12 00:00:00,2012-01-18 00:00:00,51.03186030578613,50.32914030456543,245,-172.16640029907265,regime_exit,6,2012
MO,2012-01-12 00:00:00,2012-01-18 00:00:00,28.897680152893066,28.90207908630371,433,1.904738166809242,regime_exit,6,2012
TSN,2012-01-12 00:00:00,2012-01-18 00:00:00,19.9999190826416,19.42107908630371,626,-362.3538377075196,regime_exit,6,2012
DGX,2012-01-13 00:00:00,2012-01-18 00:00:00,56.923621376037595,57.16543878173828,220,53.19982925415104,regime_exit,5,2012
KBH,2012-03-28 00:00:00,2012-04-04 00:00:00,9.308579961776733,8.582800380706788,1345,-976.1735365390763,max_hold,7,2012
VZ,2012-03-28 00:00:00,2012-04-04 00:00:00,38.33651831817627,38.31321939086914,326,-7.59545030212243,max_hold,7,2012
ET,2012-03-28 00:00:00,2012-04-04 00:00:00,10.0876351146698,10.124710456848145,1241,46.0104996433272,max_hold,7,2012
VMC,2012-03-29 00:00:00,2012-04-05 00:00:00,42.49481984710693,42.415,294,-23.46703504943821,max_hold,7,2012
GNRC,2012-03-29 00:00:00,2012-04-05 00:00:00,24.5590202293396,23.612679847717285,509,-481.6872542457576,max_hold,7,2012
VLO,2012-03-29 00:00:00,2012-04-05 00:00:00,24.40886585998535,22.751481121063232,513,-850.2383710670468,max_hold,7,2012
OKE,2012-03-30 00:00:00,2012-04-09 00:00:00,35.818296890258786,35.24717063140869,349,-199.32306433868243,max_hold,10,2012
ROK,2012-04-02 00:00:00,2012-04-09 00:00:00,80.2802427520752,77.10548213195801,156,-495.2626567382806,max_hold,7,2012
DHI,2012-04-04 00:00:00,2012-04-11 00:00:00,14.338620420455932,14.700539543151855,873,315.9553941135408,max_hold,7,2012
MLM,2012-04-04 00:00:00,2012-04-11 00:00:00,85.14996336364746,82.62442091369628,147,-371.2547401428227,max_hold,7,2012
TSN,2012-04-05 00:00:00,2012-04-12 00:00:00,18.837599235534668,18.063800380706788,664,-513.8024396057128,max_hold,7,2012
KIM,2012-04-05 00:00:00,2012-04-12 00:00:00,18.42677938842774,18.293339923858642,679,-90.6053964424169,max_hold,7,2012
GE,2012-04-05 00:00:00,2012-04-12 00:00:00,93.5914112548828,92.30905335998536,133,-170.5536000213601,max_hold,7,2012
