Date,mtum,spy,vlue,vix,vix3m
2017-01-03,68.39110565185547,194.46783447265625,55.58787536621094,12.850000381469727,15.5600004196167
2017-01-04,68.79561614990234,195.62481689453125,56.175743103027344,11.850000381469727,14.84000015258789
2017-01-05,69.02037048339844,195.46934509277344,55.870059967041016,11.670000076293945,14.699999809265137
2017-01-06,69.41590118408203,196.16868591308594,55.81520080566406,11.319999694824219,14.5600004196167
2017-01-09,69.38892364501953,195.5211944580078,55.61140441894531,11.5600004196167,14.630000114440918
2017-01-10,69.35295104980469,195.5211944580078,55.83087158203125,11.489999771118164,14.65999984741211
2017-01-11,69.57770538330078,196.07374572753906,55.84654998779297,11.260000228881836,14.470000267028809
2017-01-12,69.49678802490234,195.5816192626953,55.642757415771484,11.539999961853027,14.579999923706055
2017-01-13,69.66761016845703,196.030517578125,55.6740837097168,11.229999542236328,14.539999961853027
2017-01-17,69.50577545166016,195.3398895263672,55.431114196777344,11.869999885559082,14.890000343322754
2017-01-18,69.71255493164062,195.77157592773438,55.54084396362305,12.479999542236328,14.9399995803833
2017-01-19,69.63162994384766,195.0463104248047,55.30573654174805,12.779999732971191,15.020000457763672
2017-01-20,69.77547454833984,195.76290893554688,55.391929626464844,11.539999961853027,14.489999771118164
2017-01-23,69.62267303466797,195.2535400390625,55.21166229248047,11.770000457763672,14.539999961853027
2017-01-24,70.18899536132812,196.50543212890625,55.791683197021484,11.069999694824219,13.869999885559082
2017-01-25,70.76427459716797,198.206298828125,56.44224548339844,10.8100004196167,13.609999656677246
2017-01-26,70.66541290283203,197.99911499023438,56.29331970214844,10.630000114440918,13.630000114440918
2017-01-27,70.77328491210938,197.688232421875,56.05034255981445,10.579999923706055,13.680000305175781
2017-01-30,70.34182739257812,196.4622802734375,55.697601318359375,11.880000114440918,14.40999984741211
2017-01-31,70.34182739257812,196.44497680664062,55.71329879760742,11.989999771118164,14.479999542236328
2017-02-01,70.50362396240234,196.52267456054688,56.09737014770508,11.8100004196167,14.289999961853027
2017-02-02,70.62947082519531,196.6522216796875,55.99547576904297,11.930000305175781,14.59000015258789
2017-02-03,70.91712951660156,198.0077362060547,56.57551193237305,10.970000267028809,14.050000190734863
2017-02-06,70.88116455078125,197.65371704101562,56.52846908569336,11.369999885559082,14.239999771118164
2017-02-07,71.09689331054688,197.6623992919922,56.403053283691406,11.289999961853027,14.350000381469727
2017-02-08,71.2767105102539,197.92140197753906,56.30899429321289,11.449999809265137,14.5600004196167
2017-02-09,71.41152954101562,199.0956268310547,56.69306564331055,10.880000114440918,14.170000076293945
2017-02-10,71.63628387451172,199.8812255859375,56.873329162597656,10.850000381469727,13.90999984741211
2017-02-13,71.85202026367188,200.9691619873047,57.29658889770508,11.069999694824219,13.680000305175781
2017-02-14,71.84302520751953,201.77207946777344,57.73553466796875,10.739999771118164,13.1899995803833
2017-02-15,72.18462371826172,202.82534790039062,58.119598388671875,11.970000267028809,13.40999984741211
2017-02-16,72.31049346923828,202.65267944335938,58.09608840942383,11.760000228881836,13.630000114440918
2017-02-17,72.4003677368164,202.97218322753906,58.13526916503906,11.489999771118164,13.720000267028809
2017-02-21,72.91278076171875,204.1808624267578,58.582035064697266,11.569999694824219,14.039999961853027
2017-02-22,72.98468780517578,203.99952697753906,58.44095993041992,11.739999771118164,14.390000343322754
2017-02-23,72.80488586425781,204.13768005371094,58.32341384887695,11.710000038146973,14.739999771118164
2017-02-24,72.95772552490234,204.39669799804688,58.37825012207031,11.470000267028809,14.760000228881836
2017-02-27,73.11054229736328,204.7161865234375,58.589881896972656,12.09000015258789,14.90999984741211
2017-02-28,73.01166534423828,204.16357421875,58.26071548461914,12.920000076293945,15.279999732971191
2017-03-01,73.77572631835938,207.02142333984375,59.03667449951172,12.539999961853027,14.859999656677246
2017-03-02,73.33525848388672,205.71774291992188,58.6839599609375,11.8100004196167,14.770000457763672
2017-03-03,73.45214080810547,205.84725952148438,58.80934524536133,10.960000038146973,14.260000228881836
2017-03-06,73.31729888916016,205.23419189453125,58.40959548950195,11.239999771118164,14.34000015258789
2017-03-07,73.31729888916016,204.6212158203125,58.064735412597656,11.449999809265137,14.40999984741211
2017-03-08,73.29032897949219,204.24131774902344,57.97066116333008,11.859999656677246,14.539999961853027
2017-03-09,73.4161605834961,204.5002899169922,57.83742904663086,12.300000190734863,14.779999732971191
2017-03-10,73.85665130615234,205.21690368652344,58.049034118652344,11.65999984741211,14.380000114440918
2017-03-13,74.1173324584961,205.32054138183594,57.95500564575195,11.350000381469727,14.359999656677246
2017-03-14,73.84767150878906,204.5348663330078,57.71985626220703,12.300000190734863,14.630000114440918
2017-03-15,74.50385284423828,206.30482482910156,58.19013595581055,11.630000114440918,14.199999809265137
2017-03-16,74.31510162353516,205.8989715576172,58.08823776245117,11.210000038146973,13.779999732971191
2017-03-17,74.49488067626953,205.5374298095703,57.82959747314453,11.279999732971191,13.920000076293945
2017-03-20,74.5308609008789,205.31195068359375,57.6728401184082,11.34000015258789,13.899999618530273
2017-03-21,73.65888977050781,202.67587280273438,56.6695556640625,12.470000267028809,14.619999885559082
2017-03-22,74.04542541503906,203.1527862548828,56.873329162597656,12.8100004196167,14.680000305175781
2017-03-23,73.90157318115234,202.9359893798828,56.826290130615234,13.119999885559082,14.90999984741211
2017-03-24,74.05937194824219,202.7886199951172,56.799522399902344,12.960000038146973,14.550000190734863
2017-03-27,73.96920013427734,202.5804443359375,56.768001556396484,12.5,14.229999542236328
2017-03-28,74.26669311523438,204.0546417236328,57.35110855102539,11.529999732971191,13.680000305175781
2017-03-29,74.48307800292969,204.24534606933594,57.5008544921875,11.420000076293945,13.430000305175781
2017-03-30,74.51008605957031,204.895751953125,57.768768310546875,11.539999961853027,13.369999885559082
2017-03-31,74.51008605957031,204.41880798339844,57.61904525756836,12.369999885559082,13.600000381469727
2017-04-03,74.51008605957031,204.0632781982422,57.39051055908203,12.380000114440918,13.670000076293945
2017-04-04,74.46504211425781,204.193359375,57.42990493774414,11.789999961853027,13.369999885559082
2017-04-05,74.36587524414062,203.5863494873047,57.09895706176758,12.890000343322754,14.119999885559082
2017-04-06,74.50108337402344,204.15867614746094,57.33535385131836,12.390000343322754,13.65999984741211
2017-04-07,74.47402954101562,203.95054626464844,57.28806686401367,12.869999885559082,14.0600004196167
2017-04-10,74.45602416992188,204.0718994140625,57.35110855102539,14.050000190734863,14.579999923706055
2017-04-11,74.3748779296875,203.8291778564453,57.26443099975586,15.069999694824219,15.15999984741211
2017-04-12,74.09539794921875,202.9359893798828,56.94136047363281,15.770000457763672,15.279999732971191
2017-04-13,73.74383544921875,201.61798095703125,56.52372741699219,15.960000038146973,15.75
2017-04-17,74.51913452148438,203.40426635742188,56.94136047363281,14.65999984741211,14.859999656677246
2017-04-18,74.47402954101562,202.7972869873047,56.71284484863281,14.420000076293945,14.760000228881836
2017-04-19,74.59121704101562,202.42440795898438,56.673431396484375,14.930000305175781,15.079999923706055
2017-04-20,75.02397155761719,204.0718994140625,57.25655746459961,14.149999618530273,14.529999732971191
2017-04-21,75.00593566894531,203.42160034179688,57.004398345947266,14.630000114440918,14.75
2017-04-24,75.77223205566406,205.65879821777344,57.6899528503418,10.84000015258789,12.899999618530273
2017-04-25,76.20496368408203,206.85548400878906,57.965763092041016,10.760000228881836,12.850000381469727
2017-04-26,75.9525375366211,206.7253875732422,58.013057708740234,10.850000381469727,12.979999542236328
2017-04-27,76.31314086914062,206.89881896972656,58.03668975830078,10.359999656677246,12.800000190734863
2017-04-28,76.43033599853516,206.44786071777344,57.74510955810547,10.819999694824219,12.930000305175781
2017-05-01,76.82701110839844,206.9681854248047,57.78452682495117,10.109999656677246,12.630000114440918
2017-05-02,76.69178771972656,207.04627990722656,57.808162689208984,10.59000015258789,12.829999923706055
2017-05-03,76.47541809082031,206.79473876953125,57.713592529296875,10.680000305175781,13.09000015258789
2017-05-04,76.60162353515625,207.03756713867188,57.65056610107422,10.460000038146973,12.829999923706055
2017-05-05,76.99828338623047,207.85269165039062,58.00517654418945,10.569999694824219,12.850000381469727
2017-05-08,76.9441909790039,207.81797790527344,58.068206787109375,9.770000457763672,12.59000015258789
2017-05-09,76.91715240478516,207.62721252441406,58.10760498046875,9.960000038146973,12.710000038146973
2017-05-10,77.46708679199219,208.00009155273438,58.194297790527344,10.210000038146973,12.90999984741211
2017-05-11,77.44003295898438,207.57518005371094,58.02094268798828,10.600000381469727,13.010000228881836
2017-05-12,77.57524871826172,207.22836303710938,57.768768310546875,10.399999618530273,12.970000267028809
2017-05-15,78.17025756835938,208.3729248046875,58.08397674560547,10.420000076293945,12.779999732971191
2017-05-16,78.29645538330078,208.1821746826172,57.92637252807617,10.649999618530273,12.649999618530273
2017-05-17,76.82701110839844,204.48818969726562,56.610382080078125,15.59000015258789,15.600000381469727
2017-05-18,77.39495849609375,205.31195068359375,56.673431396484375,14.65999984741211,14.970000267028809
2017-05-19,77.8637466430664,206.64732360839844,57.09895706176758,12.039999961853027,13.489999771118164
2017-05-22,78.5759506225586,207.69659423828125,57.32748794555664,10.930000305175781,12.960000038146973
2017-05-23,78.68413543701172,208.15615844726562,57.57175827026367,10.720000267028809,12.899999618530273
2017-05-24,79.08980560302734,208.64175415039062,57.603275299072266,10.020000457763672,12.59000015258789
2017-05-25,79.72084045410156,209.63897705078125,57.80029296875,9.989999771118164,12.510000228881836
2017-05-26,79.84707641601562,209.59561157226562,57.82391357421875,9.8100004196167,12.4399995803833
2017-05-30,80.0273666381836,209.4135284423828,57.78452682495117,10.380000114440918,12.739999771118164
2017-05-31,80.07242584228516,209.3614501953125,57.67420196533203,10.40999984741211,12.630000114440918
2017-06-01,80.6404037475586,211.0264129638672,58.24156188964844,9.890000343322754,12.420000076293945
