Date,pcr_approx
2015-01-02,0.5558000183105469
2015-01-05,0.5984000015258789
2015-01-06,0.6224000167846679
2015-01-07,0.5861999893188476
2015-01-08,0.5402000045776367
2015-01-09,0.5509999847412109
2015-01-12,0.5920000076293945
2015-01-13,0.6111999893188477
2015-01-14,0.6295999908447265
2015-01-15,0.6477999877929688
2015-01-16,0.6190000152587891
2015-01-20,0.5977999877929687
2015-01-21,0.5770000076293945
2015-01-22,0.5279999923706055
2015-01-23,0.5331999969482422
2015-01-26,0.5104000091552734
2015-01-27,0.5443999862670899
2015-01-28,0.6088000106811523
2015-01-29,0.5752000045776368
2015-01-30,0.6193999862670898
2015-02-02,0.5886000061035156
2015-02-03,0.5465999984741211
2015-02-04,0.5665999984741211
2015-02-05,0.5370000076293945
2015-02-06,0.5458000183105469
2015-02-09,0.5709999847412109
2015-02-10,0.5445999908447265
2015-02-11,0.5391999816894532
2015-02-12,0.5068000030517578
2015-02-13,0.493799991607666
2015-02-17,0.5160000038146972
2015-02-18,0.5089999961853028
2015-02-19,0.5057999992370605
2015-02-20,0.48600000381469727
2015-02-23,0.49120000839233396
2015-02-24,0.473799991607666
2015-02-25,0.4768000030517578
2015-02-26,0.47819999694824217
2015-02-27,0.46680000305175784
2015-03-02,0.46079999923706055
2015-03-03,0.47719999313354494
2015-03-04,0.48459999084472655
2015-03-05,0.48079999923706057
2015-03-06,0.5039999961853028
2015-03-09,0.501200008392334
2015-03-10,0.5338000106811523
2015-03-11,0.537400016784668
2015-03-12,0.5084000015258789
2015-03-13,0.52
2015-03-16,0.5121999931335449
2015-03-17,0.5131999969482421
2015-03-18,0.4794000053405762
2015-03-19,0.48139999389648436
2015-03-20,0.46040000915527346
2015-03-23,0.4681999969482422
2015-03-24,0.47239999771118163
2015-03-25,0.508799991607666
2015-03-26,0.5160000038146972
2015-03-27,0.5013999938964844
2015-03-30,0.49020000457763674
2015-03-31,0.5057999992370605
2015-04-01,0.5021999931335449
2015-04-02,0.49340000152587893
2015-04-06,0.4947999954223633
2015-04-07,0.49559999465942384
2015-04-08,0.47959999084472654
2015-04-09,0.46180000305175783
2015-04-10,0.4515999984741211
2015-04-13,0.478799991607666
2015-04-14,0.4734000015258789
2015-04-15,0.45680000305175783
2015-04-16,0.4520000076293945
2015-04-17,0.4778000068664551
2015-04-20,0.46600000381469725
2015-04-21,0.46499999999999997
2015-04-22,0.4542000007629394
2015-04-23,0.44959999084472657
2015-04-24,0.44579999923706054
2015-04-27,0.4623999977111816
2015-04-28,0.4481999969482422
2015-04-29,0.46780000686645506
2015-04-30,0.4910000038146973
2015-05-01,0.45399999618530273
2015-05-04,0.4570000076293945
2015-05-05,0.48620000839233396
2015-05-06,0.5029999923706054
2015-05-07,0.5026000022888184
2015-05-08,0.4571999931335449
2015-05-11,0.47700000762939454
2015-05-12,0.47719999313354494
2015-05-13,0.4752000045776367
2015-05-14,0.45479999542236327
2015-05-15,0.44760000228881835
2015-05-18,0.4545999908447266
2015-05-19,0.4570000076293945
2015-05-20,0.45760000228881836
2015-05-21,0.4421999931335449
2015-05-22,0.44260000228881835
2015-05-26,0.481200008392334
2015-05-27,0.46540000915527346
2015-05-28,0.466200008392334
2015-05-29,0.4768000030517578
2015-06-01,0.4794000053405762
2015-06-02,0.4847999954223633
2015-06-03,0.47319999694824216
2015-06-04,0.49420000076293946
2015-06-05,0.48420000076293945
2015-06-08,0.5057999992370605
2015-06-09,0.48940000534057615
2015-06-10,0.4644000053405762
2015-06-11,0.4570000076293945
2015-06-12,0.4755999946594238
2015-06-15,0.5078000068664551
2015-06-16,0.49620000839233397
2015-06-17,0.49
2015-06-18,0.463799991607666
2015-06-19,0.47920000076293945
2015-06-22,0.45479999542236327
2015-06-23,0.4421999931335449
2015-06-24,0.4652000045776367
2015-06-25,0.48020000457763673
2015-06-26,0.4804000091552734
2015-06-29,0.5770000076293945
2015-06-30,0.5645999908447266
2015-07-01,0.5218000030517578
2015-07-02,0.5358000183105469
2015-07-06,0.5402000045776367
2015-07-07,0.5218000030517578
2015-07-08,0.5931999969482422
2015-07-09,0.5993999862670898
2015-07-10,0.5365999984741211
2015-07-13,0.4779999923706055
2015-07-14,0.4673999977111816
2015-07-15,0.4645999908447266
2015-07-16,0.4421999931335449
2015-07-17,0.4389999961853027
2015-07-20,0.445
2015-07-21,0.44440000534057617
2015-07-22,0.44239999771118166
2015-07-23,0.45280000686645505
2015-07-24,0.4747999954223633
2015-07-27,0.5120000076293946
2015-07-28,0.468799991607666
2015-07-29,0.45
2015-07-30,0.44260000228881835
2015-07-31,0.44239999771118166
2015-08-03,0.451200008392334
2015-08-04,0.46
2015-08-05,0.4502000045776367
2015-08-06,0.4754000091552734
2015-08-07,0.46780000686645506
2015-08-10,0.44459999084472657
2015-08-11,0.47420000076293944
2015-08-12,0.47219999313354494
2015-08-13,0.4697999954223633
2015-08-14,0.4565999984741211
2015-08-17,0.46040000915527346
2015-08-18,0.47579999923706057
2015-08-19,0.505
2015-08-20,0.5827999877929687
2015-08-21,0.7606000137329101
2015-08-24,1.014800033569336
2015-08-25,0.9204000091552734
2015-08-26,0.8063999938964843
2015-08-27,0.7220000076293945
2015-08-28,0.720999984741211
2015-08-31,0.7686000061035156
2015-09-01,0.8279999923706054
2015-09-02,0.7218000030517578
2015-09-03,0.7122000122070312
2015-09-04,0.7559999847412109
2015-09-08,0.6979999923706055
2015-09-09,0.7245999908447266
2015-09-10,0.687400016784668
2015-09-11,0.664000015258789
2015-09-14,0.685
2015-09-15,0.6508000183105469
2015-09-16,0.6270000076293946
2015-09-17,0.6227999877929687
2015-09-18,0.6456000137329101
2015-09-21,0.6027999877929687
2015-09-22,0.6488000106811523
2015-09-23,0.6425999832153321
2015-09-24,0.6693999862670899
2015-09-25,0.672400016784668
2015-09-28,0.7525999832153321
2015-09-29,0.7365999984741212
2015-09-30,0.69
2015-10-01,0.6509999847412109
2015-10-02,0.6188000106811523
2015-10-05,0.5908000183105468
2015-10-06,0.5879999923706055
2015-10-07,0.5679999923706055
2015-10-08,0.5484000015258789
2015-10-09,0.5415999984741211
2015-10-12,0.523400001525879
2015-10-13,0.5534000015258789
2015-10-14,0.5606000137329101
2015-10-15,0.5209999847412109
2015-10-16,0.5010000038146972
2015-10-19,0.49959999084472656
2015-10-20,0.515
2015-10-21,0.534000015258789
2015-10-22,0.4889999961853027
2015-10-23,0.48920000076293946
2015-10-26,0.5057999992370605
2015-10-27,0.5086000061035156
