Date,GLD,HYG,LQD,SPY,TLT,UUP
2015-01-05,0.015077149308345472,-0.009263394376955225,0.004088930904543986,-0.018059323850534215,0.015708257653038293,0.002066160341023915
2015-01-06,0.011398960794795743,-0.0038298129225416977,0.004072560959942351,-0.009419196871453983,0.01801742949949814,0.0020617118233778875
2015-01-07,-0.005891414149803653,0.006219228124573872,0.0013246183538513367,0.012461318009302058,-0.001974448773144233,0.0037037840891185336
2015-01-08,-0.00420851895976293,0.0075302915584412045,-0.0032241071097125484,0.01774483944917571,-0.013243704500972453,0.004100036049313527
2015-01-09,0.011385196369055883,0.005019121161210505,0.002653821972440795,-0.008013642100153873,0.010953076517791649,-0.004491633157405861
2015-01-12,0.011086435260788896,-0.0012214684212519256,0.0019022488775770618,-0.0078330086381313,0.0057218736953639215,0.0
2015-01-13,-0.003373767752371082,0.0,0.0009081005757016758,-0.0028132179145091696,0.0,0.002871268018822315
2015-01-14,-0.0016080097792615655,-0.0023329882332929763,0.0017324712917521357,-0.0060370206654281056,0.007585891222105401,-0.002045033887332126
2015-01-15,0.025175902263040006,-0.006126253263099679,0.005187403149026881,-0.009160571437220488,0.015735819477256774,0.003278665821899507
2015-01-16,0.013064281211881523,0.0038104583465896624,-0.005570159957714593,0.01311410542851621,-0.012749183362766758,0.004493374748461232
2015-01-20,0.013712049879254229,-0.0017864274546833814,0.002305770075994973,0.0021326731410205024,0.01328925217974386,0.004066689284660363
2015-01-21,0.00024159749942587183,0.005368873467012314,-0.0004108736206154262,0.005048050355941358,-0.01155936798895918,-0.0028351250718398058
2015-01-22,0.008049585228834255,0.0013349928067718508,-0.0004927686296366529,0.014871203547959677,-0.0035974741998284765,0.015028480081191953
2015-01-23,-0.007985306821000182,0.0,0.00584003389454546,-0.005482993520821933,0.01391803833135774,0.008803437942737968
2015-01-26,-0.00998152990144674,0.004554720729236017,-0.00024525908558958864,0.0023417104842198277,-0.0030425876123558737,-0.0015865253121337686
2015-01-27,0.011464376669647391,-0.0007736063604090182,0.0007361423464500305,-0.013190741100967074,0.001563237360192593,-0.009535276049411956
2015-01-28,-0.00787784039319106,-0.002103935487291597,0.00678429455316909,-0.012824044390258749,0.016347895692544023,0.006016886185614245
2015-01-29,-0.021552390797103027,0.003549860714467279,-0.002355080860921288,0.00924379279056331,-0.006580292605319893,0.0007975564784872269
2015-01-30,0.022275544587827323,-0.0027626781543161893,0.008219681968698156,-0.012575283125852432,0.01773788386937114,0.0011951539278030054
2015-02-02,-0.008343449208254805,0.0038383734233784494,0.0009310389139294273,0.012384572477278422,-0.003775603743910505,-0.0019896968228994005
2015-02-03,-0.011190942147351168,0.005653802147310483,-0.008085579909066332,0.014460866126255523,-0.021166718021010555,-0.011563066862743665
2015-02-04,0.0043783458565487265,-0.0041883713786706744,0.001385397290627699,-0.0038082115680688755,0.0017095470426773396,0.006050866364628371
2015-02-05,0.0017272502164005221,0.005866463103143316,-0.00317459474130799,0.010095390906780244,-0.010979323990856216,-0.007217386615606003
2015-02-06,-0.025864204796777424,0.0007702324495733048,-0.010453488706547165,-0.0027653223305655894,-0.017701674216785257,0.01211630367949379
2015-02-09,0.004467285755423989,-0.0024191603145644613,0.0006604596583774658,-0.004475867587034776,-0.0016043773410828743,-0.0007980108674885411
2015-02-10,-0.005873936049321848,0.00341671311787084,-0.0027222267077603446,0.01065326213270179,-0.007954077672337911,0.0011980178862911472
2015-02-11,-0.011817350480741395,-0.0003285010333257121,0.000661546205359187,0.0005804418449837367,0.0018508011950655323,0.003590026284056025
2015-02-12,0.0023062837940568404,-0.00011054797653198278,0.002562040913421937,0.009616745066190369,-0.0033090006201987876,-0.009538976106824082
2015-02-13,0.005454295543013465,0.0014282526154087982,-0.0039565163510778545,0.0041166000483652265,-0.010268971776201563,-0.00040129282254808274
2015-02-17,-0.01669775525216033,-0.0006581717600971926,-0.004634830074235152,0.0015728911835619641,-0.015055326195371865,-0.0012043617693778819
