date,symbol,engine,regime,days_held,ml_rank_entry,ml_rank_now,ml_rank_delta,unrealized_pct,vix_now,portfolio_rank_mean,portfolio_rank_vel,portfolio_size,portfolio_corr,ann_vol
2017-03-23,NVDA,momentum,CHOPPY,0,0.9973614775725593,0.9973614775725593,0.0,-0.01921408844414833,12.8100004196167,0.9432717678100264,0.0,2,0.6036306825724088,0.4325770229588433
2017-03-23,MSFT,momentum,CHOPPY,0,0.8891820580474934,0.8891820580474934,0.0,-0.00947795136767145,12.8100004196167,0.9432717678100264,0.0,2,0.6036306825724088,0.115056213251839
2017-03-24,NVDA,momentum,CHOPPY,0,0.9973614775725593,0.9947229551451188,-0.0026385224274405594,-0.015733840925905313,13.119999885559082,0.9349164467897978,-0.008355321020228623,3,0.501530745879068,0.4325770229588433
2017-03-24,MSFT,momentum,CHOPPY,0,0.8891820580474934,0.9102902374670184,0.02110817941952503,-0.0077983147821469164,13.119999885559082,0.9349164467897978,-0.008355321020228623,3,0.501530745879068,0.115056213251839
2017-03-24,ADBE,momentum,CHOPPY,0,0.899736147757256,0.899736147757256,0.0,-0.00027374193004400154,13.119999885559082,0.9349164467897978,-0.008355321020228623,3,0.501530745879068,0.13999254803516228
2017-03-27,NVDA,momentum,CHOPPY,3,0.9973614775725593,0.9947229551451188,-0.0026385224274405594,-0.008590188758320664,12.960000038146973,0.9349164467897978,0.0,3,0.5538376312169205,0.4325770229588433
2017-03-27,MSFT,momentum,CHOPPY,3,0.8891820580474934,0.9102902374670184,0.02110817941952503,-0.005966068685799997,12.960000038146973,0.9349164467897978,0.0,3,0.5538376312169205,0.115056213251839
2017-03-27,ADBE,momentum,CHOPPY,0,0.899736147757256,0.899736147757256,0.0,0.004032072525720938,12.960000038146973,0.9349164467897978,0.0,3,0.5538376312169205,0.13999254803516228
2017-03-28,NVDA,momentum,CHOPPY,4,0.9973614775725593,0.9947229551451188,-0.0026385224274405594,-0.01371893779890767,12.5,0.9155672823218998,-0.019349164467898028,3,0.5225232354581208,0.4325770229588433
2017-03-28,MSFT,momentum,CHOPPY,4,0.8891820580474934,0.9287598944591029,0.0395778364116095,-0.003064857038837658,12.5,0.9155672823218998,-0.019349164467898028,3,0.5225232354581208,0.115056213251839
2017-03-28,ADBE,momentum,CHOPPY,1,0.899736147757256,0.8232189973614775,-0.07651715039577844,0.0074767240903329795,12.5,0.9155672823218998,-0.019349164467898028,3,0.5225232354581208,0.13999254803516228
2017-03-29,NVDA,momentum,CHOPPY,5,0.9973614775725593,0.9947229551451188,-0.0026385224274405594,-0.016924405949274548,11.529999732971191,0.9155672823218998,0.0,3,0.5196067748913346,0.4325770229588433
2017-03-29,MSFT,momentum,CHOPPY,5,0.8891820580474934,0.9287598944591029,0.0395778364116095,-0.0003163713985074918,11.529999732971191,0.9155672823218998,0.0,3,0.5196067748913346,0.115056213251839
2017-03-29,ADBE,momentum,CHOPPY,2,0.899736147757256,0.8232189973614775,-0.07651715039577844,0.014444271316339586,11.529999732971191,0.9155672823218998,0.0,3,0.5196067748913346,0.13999254803516228
2017-03-30,NVDA,momentum,CHOPPY,6,0.9973614775725593,0.9683377308707124,-0.02902374670184693,0.0019420886907294853,11.420000076293944,0.8847845206684256,-0.030782761653474155,3,0.5098122733062239,0.4325770229588433
2017-03-30,MSFT,momentum,CHOPPY,6,0.8891820580474934,0.8944591029023746,0.00527704485488123,0.0033482372899961343,11.420000076293944,0.8847845206684256,-0.030782761653474155,3,0.5098122733062239,0.115056213251839
2017-03-30,ADBE,momentum,CHOPPY,3,0.899736147757256,0.7915567282321899,-0.10817941952506605,0.01467912306332347,11.420000076293944,0.8847845206684256,-0.030782761653474155,3,0.5098122733062239,0.13999254803516228
2017-03-31,NVDA,momentum,CHOPPY,7,0.9973614775725593,0.9683377308707124,-0.02902374670184693,-0.0023624095886855255,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.4325770229588433
2017-03-31,MSFT,momentum,CHOPPY,7,0.8891820580474934,0.8944591029023746,0.00527704485488123,0.005638661406239571,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.115056213251839
2017-03-31,ADBE,momentum,CHOPPY,4,0.899736147757256,0.7915567282321899,-0.10817941952506605,0.018750085772104637,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.13999254803516228
2017-03-31,INTU,momentum,CHOPPY,0,0.9868073878627969,0.9868073878627969,0.0,-0.0025120391393889173,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.16903183106375608
2017-03-31,SHOP,meanrev,CHOPPY,0,0.9920844327176781,0.9920844327176781,0.0,-0.0010269908301192064,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.35
2017-03-31,ANET,meanrev,CHOPPY,0,0.9894459102902374,0.9894459102902374,0.0,0.004099359010371413,11.539999961853027,0.9371152154793316,0.05233069481090602,6,0.46538684414961207,0.35
2017-04-03,NVDA,momentum,CHOPPY,10,0.9973614775725593,0.9683377308707124,-0.02902374670184693,-0.007399536392495015,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.4325770229588433
2017-04-03,MSFT,momentum,CHOPPY,10,0.8891820580474934,0.9340369393139841,0.04485488126649073,0.0009052036629303129,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.115056213251839
2017-04-03,ADBE,momentum,CHOPPY,7,0.899736147757256,0.8232189973614775,-0.07651715039577844,0.014522515413122113,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.13999254803516228
2017-04-03,INTU,momentum,CHOPPY,0,0.9868073878627969,0.9630606860158312,-0.0237467018469657,-0.0009640768954807337,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.16903183106375608
2017-04-03,SHOP,meanrev,CHOPPY,0,0.9920844327176781,0.9076517150395779,-0.08443271767810023,0.01569833837361031,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.35
2017-04-03,ANET,meanrev,CHOPPY,0,0.9894459102902374,0.9868073878627969,-0.0026385224274405594,-0.0002277292968180333,12.369999885559082,0.93051890941073,-0.006596306068601621,6,0.48760291840518394,0.35
2017-04-04,NVDA,momentum,CHOPPY,11,0.9973614775725593,0.9683377308707124,-0.02902374670184693,-0.07700431207244249,12.380000114440918,0.9192612137203167,-0.01125769569041335,5,0.1063911876565545,0.4325770229588433
2017-04-04,MSFT,momentum,CHOPPY,11,0.8891820580474934,0.9340369393139841,0.04485488126649073,0.0036536893032604796,12.380000114440918,0.9192612137203167,-0.01125769569041335,5,0.1063911876565545,0.115056213251839
