date,symbol,regime_entry,regime_now,unrealized_pct,days_held,ml_rank_entry,ml_rank_now,stop_pct,vix_now,recovered_10d
2017-04-04,NVDA,CHOPPY,CHOPPY,-0.077,11,0.9974,0.9842,0.0734,12.38,0
2017-06-15,ADBE,TRENDING_BULL,TRENDING_BULL,-0.0346,21,0.9182,0.7704,0.0623,10.64,1
2017-07-06,INTU,TRENDING_BULL,CHOPPY,-0.0641,23,0.9604,0.9736,0.04,11.07,0
2017-07-06,NEE,TRENDING_BULL,CHOPPY,-0.0136,21,0.9974,0.9789,0.04,11.07,1
2017-07-12,RH,CHOPPY,CHOPPY,0.0978,1,0.9235,0.5224,0.146,10.89,1
2017-07-18,BLK,TRENDING_BULL,CHOPPY,0.0004,21,0.9499,0.8734,0.0403,9.82,1
2017-08-03,ICE,TRENDING_BULL,TRENDING_BULL,-0.0333,9,0.8549,0.4301,0.0453,10.28,0
2017-08-08,ORCL,TRENDING_BULL,TRENDING_BULL,-0.0375,14,0.8892,0.7889,0.04,9.93,0
2017-08-17,LLY,TRENDING_BULL,CHOPPY,-0.0503,21,0.9156,0.9446,0.04,11.74,1
2017-08-18,LLY,TRENDING_BULL,CHOPPY,-0.0592,22,0.9156,0.9446,0.04,15.55,1
2017-08-21,LLY,TRENDING_BULL,CHOPPY,-0.0555,25,0.9156,0.9789,0.04,14.26,1
2017-08-21,BLK,TRENDING_BULL,CHOPPY,-0.0334,11,0.8813,0.8734,0.04,14.26,0
2017-08-22,LLY,TRENDING_BULL,CHOPPY,-0.0447,26,0.9156,0.9789,0.04,13.19,1
2017-08-23,LLY,TRENDING_BULL,CHOPPY,-0.0461,27,0.9156,0.9657,0.04,11.35,1
2017-08-29,BLK,TRENDING_BULL,CHOPPY,-0.0363,19,0.8813,0.8026,0.04,11.32,1
2017-09-15,ORCL,CHOPPY,TRENDING_BULL,-0.0477,9,0.8711,0.7947,0.0547,10.44,0
2017-09-27,AAPL,CHOPPY,TRENDING_BULL,-0.054,21,0.9211,0.8105,0.0575,10.17,0
2017-11-09,PANW,TRENDING_BULL,CHOPPY,-0.0614,9,0.8953,0.6815,0.0652,9.78,1
2017-11-20,MRVL,TRENDING_BULL,CHOPPY,0.1761,20,0.8874,0.9504,0.065,11.43,1
2017-11-29,AAPL,CHOPPY,CHOPPY,-0.0111,12,0.9582,0.9399,0.04,10.03,1
2017-12-01,ANET,CHOPPY,CHOPPY,-0.0535,7,0.8616,0.9739,0.0783,11.28,0
2017-12-06,AAPL,CHOPPY,CHOPPY,-0.0138,19,0.9582,0.7807,0.0419,11.33,1
2017-12-07,NRG,CHOPPY,CHOPPY,-0.0428,9,0.9843,0.9191,0.0585,11.02,1
2018-01-31,MCD,TRENDING_BULL,TRENDING_BULL,-0.0156,21,0.9582,0.7859,0.0434,14.79,0
2018-02-02,ROST,TRENDING_BULL,TRENDING_BULL,-0.0181,23,0.953,0.8486,0.0673,13.47,1
2018-02-05,MSFT,TRENDING_BULL,CHOPPY,-0.0004,26,0.9321,0.9373,0.0573,17.31,1
2018-02-05,INTU,TRENDING_BULL,CHOPPY,-0.0429,26,0.9138,0.9765,0.0437,17.31,1
2018-02-05,ROST,TRENDING_BULL,CHOPPY,-0.0452,26,0.953,0.8486,0.057,17.31,1
2018-02-05,NVDA,TRENDING_BULL,CHOPPY,-0.1078,12,0.9713,0.9817,0.0984,17.31,1
2018-02-05,MS,TRENDING_BULL,CHOPPY,-0.0718,4,0.9217,0.7572,0.0609,17.31,1
2018-02-05,BLK,TRENDING_BULL,CHOPPY,-0.0668,4,0.8642,0.3368,0.0629,17.31,0
2018-02-06,MSFT,TRENDING_BULL,CHOPPY,0.0374,27,0.9321,0.9295,0.0636,37.32,1
2018-02-06,INTU,TRENDING_BULL,CHOPPY,-0.0233,27,0.9138,0.9582,0.0494,37.32,1
2018-02-07,INTU,TRENDING_BULL,CHOPPY,-0.0208,28,0.9138,0.9582,0.0546,29.98,1
2018-02-08,INTU,TRENDING_BULL,CHOPPY,-0.0726,29,0.9138,0.9608,0.0637,27.73,1
2018-02-09,INTU,TRENDING_BULL,CHOPPY,-0.0464,30,0.9138,0.9608,0.0691,33.46,1
2018-02-09,NOW,TRENDING_BULL,CHOPPY,-0.0454,8,0.8721,0.9791,0.0959,33.46,1
2018-02-12,INTU,TRENDING_BULL,CHOPPY,-0.0324,33,0.9138,0.9452,0.07,29.06,1
2018-02-13,INTU,TRENDING_BULL,CHOPPY,-0.0325,34,0.9138,0.9452,0.0728,25.61,1
2018-02-16,ANET,CHOPPY,CHOPPY,-0.1863,1,1.0,0.9818,0.1863,19.13,1
2018-03-23,CME,CHOPPY,TRENDING_BULL,-0.0564,24,0.9375,0.5039,0.0737,23.34,1
2018-03-23,AAPL,TRENDING_BULL,TRENDING_BULL,-0.0778,8,0.9584,0.8312,0.0545,23.34,1
2018-03-23,BSX,TRENDING_BULL,TRENDING_BULL,-0.0649,8,0.8857,0.7506,0.0578,23.34,1
2018-03-28,ISRG,TRENDING_BULL,CHOPPY,-0.0731,9,0.9247,0.7403,0.0683,22.5,1
2018-04-02,PGR,TRENDING_BULL,CHOPPY,-0.0302,18,0.9247,0.9351,0.0505,19.97,1
2018-04-02,TMO,TRENDING_BULL,CHOPPY,-0.0382,14,0.8545,0.7065,0.0529,19.97,1
2018-04-25,SJM,CHOPPY,CHOPPY,-0.0447,7,0.7403,0.4093,0.0534,18.02,0
2018-05-03,SHOP,BEAR,BEAR,0.083,0,0.9896,0.9896,0.0971,15.97,1
2018-06-21,CAT,TRENDING_BULL,TRENDING_BULL,-0.0973,23,0.8889,0.8398,0.0684,12.79,0
2018-06-25,MRVL,TRENDING_BULL,TRENDING_BULL,-0.0965,21,0.9096,0.8217,0.1,13.77,1
2018-06-26,MRVL,TRENDING_BULL,TRENDING_BULL,-0.1086,22,0.9096,0.8217,0.1021,17.33,1
2018-06-27,AVGO,TRENDING_BULL,TRENDING_BULL,-0.0527,15,0.9173,0.7545,0.0729,15.92,0
2018-06-28,BA,TRENDING_BULL,CHOPPY,-0.0663,30,0.8527,0.9767,0.0592,17.91,1
2018-06-28,AVGO,TRENDING_BULL,CHOPPY,-0.0611,16,0.9173,0.7545,0.057,17.91,0
2018-06-28,NVDA,TRENDING_BULL,CHOPPY,-0.0787,9,0.8915,0.9716,0.0697,17.91,1
2018-06-29,BA,TRENDING_BULL,CHOPPY,-0.0639,31,0.8527,0.9225,0.0595,16.85,1
2018-06-29,AVGO,TRENDING_BULL,CHOPPY,-0.0698,17,0.9173,0.8114,0.0567,16.85,0
2018-07-02,AVGO,TRENDING_BULL,CHOPPY,-0.0721,20,0.9173,0.8114,0.0582,16.09,0
2018-07-03,AVGO,TRENDING_BULL,CHOPPY,-0.0827,21,0.9173,0.9535,0.0582,15.6,1
2018-07-05,AVGO,TRENDING_BULL,CHOPPY,-0.0592,23,0.9173,0.9535,0.0573,16.14,0
2018-07-06,AVGO,TRENDING_BULL,CHOPPY,-0.0505,24,0.9173,0.8915,0.0559,14.97,0
2018-07-09,AVGO,TRENDING_BULL,CHOPPY,-0.0514,27,0.9173,0.8915,0.0543,13.37,0
2018-07-10,AVGO,TRENDING_BULL,CHOPPY,-0.0395,28,0.9173,0.9044,0.0496,12.69,0
2018-07-24,NFLX,CHOPPY,CHOPPY,-0.1044,8,0.9974,0.8217,0.1013,12.62,0
2018-08-31,CMG,TRENDING_BULL,TRENDING_BULL,-0.0781,8,0.9251,0.8346,0.0928,13.53,1
2018-10-08,INTU,TRENDING_BULL,TRENDING_BULL,-0.0096,13,0.969,0.739,0.0667,14.82,1
2018-10-08,BKNG,TRENDING_BULL,TRENDING_BULL,-0.0433,5,0.8553,0.6305,0.0495,14.82,0
2018-10-10,AAPL,TRENDING_BULL,TRENDING_BULL,-0.0118,21,0.9225,0.7313,0.0681,15.95,1
2018-10-10,DHR,TRENDING_BULL,TRENDING_BULL,-0.0522,8,0.9276,0.4548,0.0413,15.95,0
2018-10-10,VRTX,TRENDING_BULL,TRENDING_BULL,-0.0822,8,0.9173,0.7494,0.0702,15.95,1
2018-10-11,MDT,TRENDING_BULL,CHOPPY,-0.0301,23,0.863,0.1938,0.0454,22.96,1
2018-10-11,AAPL,TRENDING_BULL,CHOPPY,-0.0205,22,0.9225,0.7726,0.0599,22.96,1
2018-10-11,INTU,TRENDING_BULL,CHOPPY,-0.0854,16,0.969,0.9509,0.0736,22.96,1
2018-10-11,LLY,TRENDING_BULL,CHOPPY,0.0154,15,0.9561,0.8501,0.0525,22.96,1
2018-10-11,VRTX,TRENDING_BULL,CHOPPY,-0.0862,9,0.9173,0.6951,0.0623,22.96,1
2018-10-12,MDT,TRENDING_BULL,CHOPPY,-0.0137,24,0.863,0.3385,0.0461,24.98,1
2018-10-12,AAPL,TRENDING_BULL,CHOPPY,0.0145,23,0.9225,0.7183,0.0609,24.98,1
2018-10-12,LLY,TRENDING_BULL,CHOPPY,0.0396,16,0.9561,0.8811,0.0546,24.98,1
