ticker,date,accession_number,item_types,sentiment_score,finbert_score,novelty_score
AAPL,2024-02-01,,"2.02,9.01",0.1,0.0,1.0
NVDA,2024-02-21,,"2.02,9.01",0.1,0.0,1.0
