Date,pcr_total
2024-03-26,0.4647999954223633
2024-03-27,0.4555999946594238
2024-03-28,0.4602000045776367
2024-04-01,0.47299999237060547
2024-04-02,0.4921999931335449
2024-04-03,0.4865999984741211
2024-04-04,0.5270000076293946
2024-04-05,0.5206000137329102
2024-04-08,0.503799991607666
2024-04-09,0.49959999084472656
2024-04-10,0.5160000038146972
2024-04-11,0.4981999969482422
2024-04-12,0.5461999893188476
2024-04-15,0.5845999908447266
2024-04-16,0.5679999923706055
2024-04-17,0.5641999816894532
2024-04-18,0.56
2024-04-19,0.5741999816894532
2024-04-22,0.5388000106811524
2024-04-23,0.513799991607666
2024-04-24,0.5194000053405762
2024-04-25,0.5073999977111816
2024-04-26,0.5005999946594238
2024-04-29,0.49340000152587893
2024-04-30,0.5129999923706055
2024-05-01,0.5078000068664551
2024-05-02,0.4936000061035156
2024-05-03,0.4697999954223633
2024-05-06,0.4697999954223633
2024-05-07,0.4645999908447266
2024-05-08,0.46
2024-05-09,0.45379999160766604
2024-05-10,0.4510000038146973
2024-05-13,0.47200000762939454
2024-05-14,0.4684000015258789
2024-05-15,0.44899999618530273
2024-05-16,0.4484000015258789
2024-05-17,0.43979999542236325
2024-05-20,0.4429999923706055
2024-05-21,0.4371999931335449
2024-05-22,0.44579999923706054
2024-05-23,0.45540000915527346
2024-05-24,0.4386000061035156
2024-05-28,0.4584000015258789
2024-05-29,0.48559999465942383
2024-05-30,0.48940000534057615
2024-05-31,0.4584000015258789
2024-06-03,0.46219999313354493
2024-06-04,0.4631999969482422
2024-06-05,0.45260000228881836
2024-06-06,0.4515999984741211
2024-06-07,0.44440000534057617
2024-06-10,0.45479999542236327
2024-06-11,0.4570000076293945
2024-06-12,0.44079999923706054
2024-06-13,0.43879999160766603
2024-06-14,0.4531999969482422
2024-06-17,0.455
2024-06-18,0.4460000038146973
2024-06-20,0.4655999946594238
2024-06-21,0.46399999618530274
2024-06-24,0.4665999984741211
2024-06-25,0.45680000305175783
2024-06-26,0.4510000038146973
2024-06-27,0.44479999542236326
2024-06-28,0.44879999160766604
2024-07-01,0.44440000534057617
2024-07-02,0.44059999465942384
2024-07-03,0.4418000030517578
2024-07-05,0.44959999084472657
2024-07-08,0.44739999771118166
2024-07-09,0.4502000045776367
2024-07-10,0.4570000076293945
2024-07-11,0.4584000015258789
2024-07-12,0.4492000007629394
2024-07-15,0.4623999977111816
2024-07-16,0.463799991607666
2024-07-17,0.48959999084472655
2024-07-18,0.5186000061035156
2024-07-19,0.5304000091552734
2024-07-22,0.4981999969482422
2024-07-23,0.49440000534057615
2024-07-24,0.5608000183105468
2024-07-25,0.5691999816894531
2024-07-26,0.5277999877929688
2024-07-29,0.5320000076293945
2024-07-30,0.5538000106811524
2024-07-31,0.5272000122070313
2024-08-01,0.5718000030517578
2024-08-02,0.6677999877929688
2024-08-05,0.9713999938964843
2024-08-06,0.7541999816894531
2024-08-07,0.7570000076293946
2024-08-08,0.6758000183105468
2024-08-09,0.6074000167846679
2024-08-12,0.6141999816894531
2024-08-13,0.562400016784668
2024-08-14,0.5238000106811523
2024-08-15,0.5045999908447265
2024-08-16,0.4960000038146973
2024-08-19,0.4929999923706055
2024-08-20,0.5176000022888183
2024-08-21,0.5254000091552734
2024-08-22,0.5509999847412109
2024-08-23,0.5171999931335449
2024-08-26,0.5229999923706055
2024-08-27,0.5086000061035156
2024-08-28,0.5422000122070313
2024-08-29,0.5129999923706055
2024-08-30,0.5
2024-09-03,0.6143999862670898
2024-09-04,0.6263999938964844
2024-09-05,0.5979999923706054
2024-09-06,0.6475999832153321
2024-09-09,0.5890000152587891
2024-09-10,0.5815999984741211
2024-09-11,0.5538000106811524
2024-09-12,0.5413999938964844
2024-09-13,0.5311999893188477
2024-09-16,0.5427999877929688
2024-09-17,0.5522000122070313
2024-09-18,0.5645999908447266
2024-09-19,0.5265999984741211
2024-09-20,0.5229999923706055
2024-09-23,0.5178000068664551
2024-09-24,0.5078000068664551
2024-09-25,0.5081999969482421
2024-09-26,0.5073999977111816
2024-09-27,0.5391999816894532
2024-09-30,0.5345999908447265
2024-10-01,0.5852000045776367
2024-10-02,0.5779999923706055
2024-10-03,0.6097999954223633
2024-10-04,0.5841999816894531
2024-10-07,0.6527999877929688
2024-10-08,0.6284000015258789
2024-10-09,0.6172000122070312
2024-10-10,0.6186000061035156
2024-10-11,0.6091999816894531
2024-10-14,0.5940000152587891
2024-10-15,0.6127999877929687
2024-10-16,0.5915999984741211
2024-10-17,0.5822000122070312
2024-10-18,0.5606000137329101
2024-10-21,0.567400016784668
2024-10-22,0.5640000152587891
2024-10-23,0.5847999954223633
2024-10-24,0.5815999984741211
2024-10-25,0.606599998474121
2024-10-28,0.595999984741211
2024-10-29,0.5868000030517578
2024-10-30,0.6070000076293945
2024-10-31,0.6631999969482422
2024-11-01,0.6375999832153321
2024-11-04,0.6395999908447265
2024-11-05,0.6097999954223633
2024-11-06,0.5254000091552734
2024-11-07,0.5039999961853028
2024-11-08,0.498799991607666
2024-11-11,0.49940000534057616
2024-11-12,0.49420000076293946
2024-11-13,0.4804000091552734
2024-11-14,0.48620000839233396
2024-11-15,0.5227999877929688
2024-11-18,0.5115999984741211
2024-11-19,0.5270000076293946
2024-11-20,0.5431999969482422
2024-11-21,0.537400016784668
2024-11-22,0.5047999954223633
2024-11-25,0.49200000762939455
2024-11-26,0.48200000762939454
2024-11-27,0.48200000762939454
2024-11-29,0.4702000045776367
2024-12-02,0.46680000305175784
2024-12-03,0.46600000381469725
2024-12-04,0.46899999618530275
2024-12-05,0.47079999923706056
2024-12-06,0.45540000915527346
2024-12-09,0.483799991607666
2024-12-10,0.4836000061035156
2024-12-11,0.4715999984741211
2024-12-12,0.4784000015258789
2024-12-13,0.476200008392334
2024-12-16,0.493799991607666
2024-12-17,0.5173999977111816
2024-12-18,0.752400016784668
2024-12-19,0.6818000030517578
2024-12-20,0.5672000122070313
2024-12-23,0.5356000137329101
2024-12-24,0.4854000091552734
2024-12-26,0.49459999084472656
2024-12-27,0.5189999961853027
2024-12-30,0.5479999923706055
2024-12-31,0.5470000076293945
2025-01-02,0.5586000061035157
2025-01-03,0.5225999832153321
2025-01-06,0.5208000183105469
2025-01-07,0.5563999938964844
2025-01-08,0.5540000152587891
2025-01-10,0.5908000183105468
2025-01-13,0.5838000106811523
2025-01-14,0.5741999816894532
2025-01-15,0.522400016784668
2025-01-16,0.5320000076293945
2025-01-17,0.5194000053405762
2025-01-21,0.501200008392334
2025-01-22,0.5020000076293946
2025-01-23,0.5004000091552734
2025-01-24,0.49700000762939456
2025-01-27,0.5579999923706055
2025-01-28,0.5281999969482422
2025-01-29,0.5311999893188477
2025-01-30,0.5168000030517578
2025-01-31,0.5286000061035157
2025-02-03,0.572400016784668
2025-02-04,0.5441999816894532
2025-02-05,0.5154000091552734
2025-02-06,0.51
2025-02-07,0.5308000183105469
2025-02-10,0.5162000083923339
2025-02-11,0.5204000091552734
2025-02-12,0.5178000068664551
2025-02-13,0.5020000076293946
2025-02-14,0.49540000915527344
2025-02-18,0.5070000076293946
2025-02-19,0.5054000091552734
2025-02-20,0.5131999969482421
2025-02-21,0.5641999816894532
2025-02-24,0.5795999908447266
2025-02-25,0.5886000061035156
2025-02-26,0.5820000076293945
2025-02-27,0.622599983215332
2025-02-28,0.592599983215332
2025-03-03,0.6556000137329101
2025-03-04,0.6702000045776367
2025-03-05,0.6386000061035156
2025-03-06,0.697400016784668
2025-03-07,0.667400016784668
2025-03-10,0.7572000122070313
2025-03-11,0.7384000015258789
2025-03-12,0.6845999908447266
2025-03-13,0.6931999969482422
2025-03-14,0.6354000091552734
2025-03-17,0.6102000045776367
2025-03-18,0.634000015258789
2025-03-19,0.5979999923706054
2025-03-20,0.595999984741211
2025-03-21,0.5856000137329102
2025-03-24,0.5495999908447265
2025-03-25,0.5429999923706055
2025-03-26,0.5665999984741211
2025-03-27,0.5738000106811524
2025-03-28,0.6329999923706054
2025-03-31,0.6456000137329101
2025-04-01,0.6354000091552734
2025-04-02,0.6302000045776367
2025-04-03,0.8004000091552734
2025-04-04,1.1062000274658204
2025-04-07,1.1395999908447265
2025-04-08,1.2466000366210936
2025-04-09,0.8723999786376953
2025-04-10,1.0144000244140625
2025-04-11,0.9512000274658203
2025-04-14,0.8177999877929687
2025-04-15,0.802400016784668
2025-04-16,0.8527999877929687
2025-04-17,0.7929999923706055
2025-04-21,0.8763999938964844
2025-04-22,0.8113999938964844
2025-04-23,0.769000015258789
2025-04-24,0.7293999862670899
2025-04-25,0.6968000030517578
2025-04-28,0.7029999923706055
2025-04-29,0.6834000015258789
2025-04-30,0.6940000152587891
2025-05-01,0.6920000076293945
2025-05-02,0.6536000061035157
2025-05-05,0.6727999877929688
2025-05-06,0.6952000045776368
2025-05-07,0.6709999847412109
2025-05-08,0.6495999908447265
2025-05-09,0.6379999923706055
2025-05-12,0.5677999877929687
2025-05-13,0.5643999862670899
2025-05-14,0.572400016784668
2025-05-15,0.5565999984741211
2025-05-16,0.5447999954223632
2025-05-19,0.5627999877929688
2025-05-20,0.5618000030517578
2025-05-21,0.6174000167846679
2025-05-22,0.6056000137329102
2025-05-23,0.6458000183105469
2025-05-27,0.5791999816894531
2025-05-28,0.5861999893188476
2025-05-29,0.5836000061035156
2025-05-30,0.5713999938964844
2025-06-02,0.5672000122070313
2025-06-03,0.5538000106811524
2025-06-04,0.5522000122070313
2025-06-05,0.5695999908447266
2025-06-06,0.5354000091552734
2025-06-09,0.5431999969482422
2025-06-10,0.539000015258789
2025-06-11,0.5452000045776367
2025-06-12,0.5604000091552734
2025-06-13,0.6163999938964844
2025-06-16,0.5822000122070312
2025-06-17,0.6320000076293946
2025-06-18,0.6027999877929687
2025-06-20,0.6124000167846679
2025-06-23,0.596599998474121
2025-06-24,0.5495999908447265
2025-06-25,0.5352000045776367
2025-06-26,0.5318000030517578
2025-06-27,0.5263999938964844
2025-06-30,0.5345999908447265
2025-07-01,0.5365999984741211
2025-07-02,0.5327999877929688
2025-07-03,0.5275999832153321
2025-07-07,0.5558000183105469
2025-07-08,0.5361999893188476
2025-07-09,0.518799991607666
2025-07-10,0.5155999946594239
2025-07-11,0.5279999923706055
2025-07-14,0.544000015258789
2025-07-15,0.547599983215332
2025-07-16,0.5431999969482422
2025-07-17,0.5304000091552734
2025-07-18,0.5281999969482422
2025-07-21,0.5329999923706055
2025-07-22,0.53
2025-07-23,0.5073999977111816
2025-07-24,0.5078000068664551
2025-07-25,0.4986000061035156
2025-07-28,0.5005999946594238
2025-07-29,0.5195999908447265
2025-07-30,0.5095999908447265
2025-07-31,0.5343999862670898
2025-08-01,0.607599983215332
2025-08-04,0.5504000091552734
2025-08-05,0.5570000076293945
2025-08-06,0.5354000091552734
2025-08-07,0.5313999938964844
2025-08-08,0.5029999923706054
2025-08-11,0.525
2025-08-12,0.49459999084472656
2025-08-13,0.4897999954223633
2025-08-14,0.4965999984741211
2025-08-15,0.5018000030517578
2025-08-18,0.4997999954223633
2025-08-19,0.5113999938964844
2025-08-20,0.513799991607666
2025-08-21,0.5320000076293945
2025-08-22,0.48440000534057615
2025-08-25,0.49579999923706053
2025-08-26,0.49239999771118165
2025-08-27,0.49700000762939456
2025-08-28,0.4886000061035156
2025-08-29,0.5071999931335449
2025-09-02,0.5434000015258789
2025-09-03,0.5270000076293946
2025-09-04,0.5060000038146972
2025-09-05,0.5036000061035156
2025-09-08,0.5021999931335449
2025-09-09,0.5007999992370605
2025-09-10,0.5070000076293946
2025-09-11,0.49420000076293946
2025-09-12,0.49520000457763674
2025-09-15,0.513799991607666
2025-09-16,0.5272000122070313
2025-09-17,0.5144000053405762
2025-09-18,0.5139999961853028
2025-09-19,0.5089999961853028
2025-09-22,0.5220000076293946
2025-09-23,0.5327999877929688
2025-09-24,0.5236000061035156
2025-09-25,0.5347999954223632
2025-09-26,0.5057999992370605
2025-09-29,0.522400016784668
2025-09-30,0.5256000137329102
2025-10-01,0.5258000183105469
2025-10-02,0.5325999832153321
2025-10-03,0.5329999923706055
2025-10-06,0.527400016784668
2025-10-07,0.5447999954223632
2025-10-08,0.5259999847412109
2025-10-09,0.5286000061035157
2025-10-10,0.6331999969482422
2025-10-13,0.5806000137329101
2025-10-14,0.6161999893188477
2025-10-15,0.6127999877929687
2025-10-16,0.7061999893188476
2025-10-17,0.6156000137329102
2025-10-20,0.5645999908447266
2025-10-21,0.557400016784668
2025-10-22,0.5720000076293945
2025-10-23,0.5459999847412109
2025-10-24,0.527400016784668
2025-10-27,0.5157999992370605
2025-10-28,0.528400001525879
2025-10-29,0.5384000015258789
2025-10-30,0.5381999969482422
2025-10-31,0.5488000106811524
2025-11-03,0.5434000015258789
2025-11-04,0.58
2025-11-05,0.5602000045776367
2025-11-06,0.59
2025-11-07,0.5815999984741211
2025-11-10,0.5520000076293945
2025-11-11,0.5456000137329101
2025-11-12,0.5502000045776367
2025-11-13,0.6
2025-11-14,0.596599998474121
2025-11-17,0.6475999832153321
2025-11-18,0.6938000106811524
2025-11-19,0.6731999969482422
2025-11-20,0.7284000015258789
2025-11-21,0.6686000061035157
2025-11-24,0.6104000091552735
2025-11-25,0.5711999893188476
2025-11-26,0.5438000106811524
2025-11-28,0.5270000076293946
2025-12-01,0.5447999954223632
2025-12-02,0.5318000030517578
2025-12-03,0.5215999984741211
2025-12-04,0.5155999946594239
2025-12-05,0.5081999969482421
2025-12-08,0.5331999969482422
2025-12-09,0.5386000061035157
2025-12-10,0.5154000091552734
2025-12-11,0.49700000762939456
2025-12-12,0.5147999954223633
2025-12-15,0.53
2025-12-16,0.5295999908447265
2025-12-17,0.552400016784668
2025-12-18,0.537400016784668
2025-12-19,0.4981999969482422
2025-12-22,0.4815999984741211
2025-12-23,0.48
2025-12-24,0.4694000053405762
2025-12-26,0.47200000762939454
2025-12-29,0.48399999618530276
2025-12-30,0.4865999984741211
2025-12-31,0.4989999961853027
2026-01-02,0.49020000457763674
2026-01-05,0.4979999923706055
2026-01-06,0.495
2026-01-07,0.5076000022888184
2026-01-08,0.5089999961853028
2026-01-09,0.4897999954223633
2026-01-12,0.5023999977111816
2026-01-13,0.5195999908447265
2026-01-14,0.535
2026-01-15,0.5168000030517578
2026-01-16,0.5171999931335449
2026-01-20,0.6018000030517578
2026-01-21,0.5379999923706055
2026-01-22,0.5128000068664551
2026-01-23,0.5218000030517578
2026-01-26,0.5229999923706055
2026-01-27,0.5270000076293946
2026-01-28,0.5270000076293946
2026-01-29,0.537599983215332
2026-01-30,0.5488000106811524
2026-02-02,0.5268000030517578
2026-02-03,0.56
2026-02-04,0.5727999877929688
2026-02-05,0.6354000091552734
2026-02-06,0.6074000167846679
2026-02-09,0.5472000122070313
2026-02-10,0.5558000183105469
2026-02-11,0.5529999923706055
2026-02-12,0.6163999938964844
2026-02-13,0.6120000076293945
2026-02-17,0.6058000183105469
2026-02-18,0.5924000167846679
2026-02-19,0.6045999908447266
2026-02-20,0.5818000030517578
2026-02-23,0.6202000045776367
2026-02-24,0.590999984741211
2026-02-25,0.5586000061035157
2026-02-26,0.572599983215332
2026-02-27,0.5972000122070312
2026-03-02,0.6288000106811523
2026-03-03,0.6713999938964844
2026-03-04,0.6229999923706054
2026-03-05,0.675
2026-03-06,0.7897999954223633
2026-03-09,0.71
2026-03-10,0.6986000061035156
2026-03-11,0.6845999908447266
2026-03-12,0.7458000183105469
2026-03-13,0.7438000106811523
2026-03-16,0.6702000045776367
2026-03-17,0.647400016784668
2026-03-18,0.7018000030517578
2026-03-19,0.6811999893188476
2026-03-20,0.7356000137329102
2026-03-23,0.7229999923706054
2026-03-24,0.739000015258789
2026-03-25,0.7065999984741211
2026-03-26,0.7488000106811523
